d1_or_not,primary_position,height,weight,sixty_time,c_velo,pop_time,player_region,exit_velo_max,throwing_hand,hitting_handedness
1,C,73.0,195.0,7.51,78.0,2.0,Midwest,98.2,R,R
0,C,70.0,170.0,8.51,66.0,2.4,Midwest,76.0,R,R
1,C,70.0,180.0,6.98,85.0,1.9,Midwest,91.4,R,R
0,C,73.0,205.0,7.04,78.0,2.0,South,93.4,R,R
0,C,72.0,195.0,7.5,66.0,2.2,South,90.2,R,R
0,C,72.0,280.0,7.46,76.0,2.1,Midwest,93.6,R,R
0,C,72.0,192.0,7.43,76.0,2.1,South,84.0,R,R
0,C,70.0,155.0,7.66,68.0,2.0,South,84.2,L,R
0,C,73.0,200.0,7.209417819976807,72.0,2.3,South,87.5,R,R
1,C,74.0,150.0,7.46,73.0,2.1,South,85.3,R,R
0,C,68.0,180.0,7.72,66.0,2.4,Midwest,81.7,R,R
0,C,72.0,185.0,7.67,75.0,2.0,Midwest,91.1,R,R
0,C,72.0,158.0,7.48,77.0,1.9,Midwest,101.2,R,R
0,C,72.0,190.0,7.2,78.0,1.9,South,91.4,R,R
0,C,72.0,205.0,7.25,82.0,1.9,West,98.4,R,L
0,C,72.0,190.0,8.94,75.0,2.4,Northeast,94.9,R,R
0,C,70.0,160.7,7.49,73.0,2.0,West,93.7,R,L
0,C,71.0,175.0,7.17,77.0,2.1,Midwest,95.5,R,R
0,C,73.0,195.0,7.57,76.0,2.2,Midwest,87.2,R,R
0,C,70.0,170.0,7.505331516265869,74.0,2.0,South,78.9,R,R
1,C,70.0,185.0,7.21,77.0,2.0,South,89.6,R,L
0,C,69.0,155.0,7.5,70.0,2.2,Midwest,82.0,R,L
0,C,72.0,207.2,6.98,81.0,2.0,South,96.1,R,R
0,C,73.0,210.0,7.48,77.0,2.0,South,98.5,R,R
1,C,74.0,185.0,7.04,81.0,2.0,Midwest,101.6,R,R
0,C,72.0,172.0,7.22,76.0,2.1,South,95.4,R,R
1,C,72.0,200.0,6.71,85.0,1.9,Midwest,101.1,R,R
0,C,70.0,170.0,7.022757530212402,75.0,2.0,Midwest,83.0,R,R
0,C,72.0,200.0,7.94,75.0,2.2,South,89.9,R,R
0,C,70.0,175.0,8.03,75.0,2.1,Northeast,87.1,R,R
0,C,69.0,160.0,7.34,79.0,1.9,South,91.6,R,R
0,C,73.0,170.0,7.425443649291992,77.0,2.2,Midwest,90.8,R,R
0,C,72.0,180.0,7.32,76.0,2.0,Midwest,92.5,R,R
0,C,71.0,193.0,7.284702301025391,74.0,2.1,Midwest,87.7,R,R
0,C,72.0,176.0,7.54,74.0,2.1,Midwest,88.6,R,L
0,C,72.0,160.0,7.54,72.0,2.2,Midwest,82.6,R,R
1,C,73.0,190.0,7.47,77.0,2.0,South,98.2,R,R
0,C,73.0,225.0,7.7,67.0,2.2,Midwest,96.2,R,R
0,C,70.0,180.0,7.42,78.0,2.1,Northeast,97.1,R,L
0,C,70.0,165.0,7.3,73.0,2.2,Midwest,89.5,R,R
1,C,74.0,220.0,6.83,89.0,1.8,South,99.5,R,R
1,C,71.0,185.0,7.63,71.0,2.0,Northeast,99.0,R,R
0,C,68.0,225.0,8.03,69.0,2.3,Midwest,95.0,R,R
1,C,75.0,221.0,7.17,79.0,2.0,West,101.4,R,R
0,C,71.0,185.0,7.305179119110107,69.0,2.1,West,88.7,R,L
0,C,71.0,175.0,7.78,69.0,2.2,Midwest,84.0,R,R
0,C,71.0,175.0,7.4,70.0,2.2,Midwest,83.8,R,R
0,C,72.0,190.0,7.33,76.0,2.1,Midwest,90.5,R,R
0,C,72.0,190.0,7.37,81.0,2.0,Northeast,98.3,R,R
0,C,73.0,220.0,7.72,77.0,2.0,Midwest,88.4,R,R
0,C,69.0,190.0,8.22,66.0,2.2,West,90.6,R,R
1,C,71.0,190.0,7.01,82.0,1.9,West,97.7,R,S
1,C,69.0,181.0,6.83,78.0,1.9,South,94.7,R,R
1,C,73.0,206.8,6.85,82.0,2.0,South,104.1,R,R
0,C,73.0,185.0,7.49,73.0,2.0,South,89.0,R,L
