d1_or_not,primary_position,height,weight,sixty_time,c_velo,pop_time,player_region,exit_velo_max,throwing_hand,hitting_handedness
0,C,69.0,150.0,6.91,72.0,2.0,South,90.0,R,R
0,C,69.0,175.0,7.1,75.0,2.0,Northeast,95.8,R,R
0,C,72.0,185.0,7.32,75.0,2.0,South,91.5,R,R
0,C,72.0,175.0,7.43,80.0,2.0,West,91.2,R,R
0,C,69.0,179.9,7.8,78.0,2.1,Midwest,93.6,R,R
0,C,72.0,195.0,7.43,71.0,2.2,South,93.2,R,R
0,C,69.0,160.0,7.68,70.0,2.4,Midwest,76.0,R,R
0,C,70.0,170.0,7.86,68.0,2.1,Midwest,85.0,R,R
0,C,72.0,235.0,7.294632434844971,74.0,2.1,Northeast,90.0,R,R
0,C,72.0,190.0,6.94,83.0,2.1,Midwest,91.9,R,R
0,C,72.0,165.0,7.72,72.0,2.4,South,84.1,R,L
0,C,72.0,173.0,7.0,73.0,2.1,Midwest,92.6,R,R
0,C,72.0,190.0,7.55,74.0,2.0,Northeast,92.5,R,R
0,C,68.0,175.0,7.62,71.0,2.2,Midwest,89.5,R,R
0,C,70.0,183.0,7.98,66.0,2.3,South,83.0,R,R
0,C,75.0,175.0,7.85,66.0,2.3,Midwest,90.0,R,R
1,C,72.0,190.0,7.27,83.0,1.9,Northeast,98.0,R,R
1,C,73.0,215.0,7.13,84.0,1.9,Midwest,102.2,R,R
0,C,73.0,185.0,7.6,74.0,2.0,South,92.3,R,L
0,C,70.0,170.0,7.76,74.0,2.0,Northeast,90.1,R,R
0,C,71.0,170.0,7.38,76.0,2.1,Northeast,90.4,R,R
0,C,74.0,190.0,7.42,75.0,2.2,Midwest,87.3,R,R
0,C,72.0,205.0,7.36,75.0,2.0,South,98.0,R,R
0,C,70.0,175.0,6.9,78.0,1.9,Northeast,93.3,R,R
1,C,75.0,175.0,6.84,79.0,1.9,Northeast,91.7,R,R
0,C,72.0,215.0,7.73,78.0,2.0,Midwest,94.0,R,R
0,C,71.0,195.0,7.79,74.0,2.2,Northeast,87.5,R,L
0,C,72.0,175.0,7.65,75.0,2.1,Northeast,84.7,R,R
0,C,71.0,200.0,7.62,77.0,2.1,Midwest,97.7,R,L
1,C,70.0,170.0,7.38,75.0,2.1,Midwest,84.0,R,R
0,C,69.0,185.0,7.54,76.0,2.0,Northeast,91.3,R,R
1,C,76.0,230.0,7.3,87.0,1.9,West,104.7,R,R
0,C,71.0,165.0,7.69,74.0,2.2,Midwest,87.5,R,R
0,C,68.0,175.0,7.16986608505249,74.0,2.2,South,83.0,R,R
0,C,72.0,180.0,7.36,79.0,2.0,Midwest,95.6,R,R
0,C,74.0,198.0,7.29,74.0,2.0,South,89.4,R,R
1,C,72.0,190.0,6.9,76.0,2.1,South,87.0,R,L
0,C,69.0,163.0,7.34,75.0,1.9,West,90.4,R,R
0,C,72.0,195.0,7.84,73.0,2.0,South,97.1,R,R
0,C,71.0,194.2,7.47,77.0,2.0,Northeast,90.9,R,R
0,C,69.0,195.0,7.11,80.0,1.9,Midwest,100.5,R,R
0,C,72.0,180.0,9.02,73.0,2.3,South,84.0,R,R
0,C,71.0,195.0,6.9,78.0,1.8,Midwest,98.3,R,R
1,C,71.0,185.0,7.25,80.0,2.0,Northeast,87.3,R,R
0,C,67.0,160.0,7.48,76.0,2.1,Midwest,90.8,R,R
1,C,74.0,215.0,7.01,83.0,1.9,South,96.5,R,R
0,C,73.0,195.0,7.67,74.0,2.1,South,92.6,R,R
0,C,71.0,165.0,8.34,71.0,2.2,Midwest,83.0,R,R
1,C,73.0,180.0,7.27,76.0,2.1,South,90.0,R,R
0,C,72.0,200.0,7.29,79.0,2.0,South,98.1,R,R
0,C,76.0,170.0,7.314515590667725,75.0,2.0,Midwest,79.2,R,R
0,C,70.0,185.0,6.77,77.0,2.0,Midwest,100.9,R,L
0,C,73.0,185.0,7.54,81.0,1.9,South,88.7,R,R
0,C,72.0,190.0,7.37,78.0,2.1,Midwest,99.0,R,R
0,C,68.0,170.0,9.05,64.0,2.2,Midwest,69.0,R,R
0,C,72.0,180.0,7.38,77.0,2.1,South,87.7,R,R
0,C,74.0,195.0,7.66,78.0,2.0,South,91.2,R,L
0,C,73.0,205.0,7.39,75.0,2.1,Northeast,92.0,R,R
0,C,71.0,168.0,6.96,78.0,1.9,South,92.5,R,R
0,C,72.0,190.0,7.54,75.0,2.2,Midwest,89.9,R,R
0,C,72.0,165.0,7.35,77.0,2.0,South,83.0,R,S
1,C,72.0,175.0,7.3,78.0,2.1,West,95.6,R,S
0,C,72.0,170.0,7.42,81.0,2.0,Midwest,94.0,R,R
1,C,73.0,192.0,7.21,78.0,2.0,South,93.8,R,R
0,C,74.0,210.0,8.22,71.0,2.5,Northeast,88.1,R,R
0,C,70.0,150.0,7.42,73.0,2.0,West,81.0,R,R
0,C,69.0,194.0,7.23,73.0,2.0,South,96.8,R,R
0,C,68.0,155.0,6.79,74.0,2.0,South,86.6,R,R
0,C,68.0,210.0,7.23,79.0,1.9,Midwest,99.0,R,R
1,C,73.0,200.0,7.47,79.0,2.0,South,88.1,R,R
1,C,72.0,190.0,7.45,74.0,2.1,South,80.3,R,R
1,C,74.0,220.0,7.6,83.0,1.9,Northeast,89.3,R,R
0,C,72.0,190.0,7.71,78.0,2.2,Northeast,90.0,R,R
0,C,67.0,165.0,7.26,71.0,2.0,Northeast,85.4,R,L
0,C,73.0,195.0,7.56,70.0,2.3,Northeast,82.5,R,R
0,C,71.0,193.0,7.34,74.0,2.1,Midwest,96.4,R,R
0,C,74.0,195.0,7.52,75.0,2.1,Northeast,92.5,R,R
0,C,70.0,176.0,7.31,71.0,2.0,West,90.9,R,R
0,C,70.0,175.0,7.06,75.0,2.1,Midwest,91.0,R,R
1,C,72.0,185.0,6.86,76.0,2.0,Northeast,96.0,R,L
0,C,71.0,165.0,7.31,72.0,2.2,Northeast,83.1,R,R
1,C,71.0,195.0,7.29,74.0,2.0,South,93.3,R,S
0,C,70.0,222.0,7.5,76.0,2.1,Northeast,92.6,R,R
1,C,72.0,185.0,7.3,80.0,2.0,West,91.6,R,R
0,C,67.0,155.0,7.92,69.0,2.1,South,86.0,R,R
0,C,70.0,200.0,7.92,76.0,2.0,Midwest,90.0,R,R
0,C,72.0,166.2,7.19,83.0,1.9,West,99.7,R,R
0,C,75.0,228.0,8.08,76.0,2.1,Midwest,91.0,R,R
0,C,72.0,210.0,7.58,76.0,2.1,Midwest,93.0,R,R
0,C,69.0,175.0,7.32,76.0,2.2,Midwest,91.0,R,R
0,C,71.0,175.0,7.45,76.0,2.0,Midwest,88.7,L,R
1,C,72.0,195.0,7.15,79.0,2.0,South,95.4,R,L
0,C,71.0,200.0,7.86,76.0,2.1,Midwest,96.4,R,R
1,C,72.0,190.0,7.08,79.0,1.9,South,91.2,R,R
0,C,69.0,200.0,7.4,79.0,2.1,South,81.0,R,R
1,C,73.0,195.0,7.44,74.0,2.1,South,94.0,R,R
0,C,71.0,165.0,6.99,74.0,2.1,Midwest,93.2,R,L
0,C,72.0,179.5,7.51,76.0,2.0,West,84.5,R,R
0,C,75.0,190.0,7.1,77.0,2.1,Midwest,93.7,R,R
0,C,70.0,180.0,7.471104145050049,74.0,2.0,Northeast,93.9,R,R
0,C,72.0,180.0,7.94,71.0,2.3,Midwest,83.9,R,R
0,C,75.0,192.5,7.88,77.0,1.9,West,96.0,R,R
0,C,76.0,200.0,7.73,78.0,2.2,South,88.5,R,R
1,C,76.0,235.0,7.19,80.0,1.9,South,97.6,R,R
0,C,67.0,155.0,7.77,67.0,2.3,South,85.5,R,R
0,C,69.0,180.0,7.52,74.0,2.0,West,93.7,R,R
0,C,69.0,180.0,7.26,79.0,1.9,Midwest,88.5,R,R
0,C,71.0,170.0,7.3,72.0,2.1,Northeast,93.5,R,L
0,C,72.0,185.0,6.88,77.0,2.0,Midwest,98.8,R,R
0,C,72.0,180.0,7.08,78.0,2.2,Northeast,94.5,R,R
0,C,72.0,185.0,7.1,79.0,1.9,Midwest,87.3,R,R
1,C,76.0,217.0,7.83,78.0,2.0,South,98.5,R,R
0,C,72.0,209.0,7.61,78.0,2.0,South,94.6,R,R
0,C,74.0,190.0,7.6,74.0,2.0,Northeast,95.0,R,R
0,C,75.0,195.0,7.32,78.0,2.0,Midwest,94.0,R,R
0,C,70.0,165.0,8.11,74.0,2.1,South,87.1,R,R
1,C,72.0,190.0,7.02,80.0,1.9,Midwest,106.2,R,R
0,C,73.0,155.0,8.34,66.0,2.4,West,78.0,R,R
0,C,70.0,190.0,7.36,81.0,2.0,West,94.7,R,R
1,C,74.0,225.3,7.52,77.0,1.9,South,100.0,R,R
0,C,72.0,205.0,7.47,73.0,2.0,South,95.9,R,R
1,C,71.0,175.0,7.67,77.0,2.0,West,89.0,R,S
0,C,68.0,175.0,7.34,77.0,2.0,South,92.2,R,R
1,C,71.0,185.0,7.0,81.0,1.9,Northeast,95.6,R,R
0,C,75.0,185.0,7.5,78.0,2.1,Midwest,93.6,R,R
1,C,71.0,175.9,6.7,77.0,1.9,Midwest,91.4,R,R
1,C,71.0,190.0,7.05,73.0,2.0,South,98.5,R,L
0,C,73.0,192.0,7.27,73.0,2.0,South,91.8,R,R
0,C,68.0,180.0,8.59,64.0,2.5,South,73.0,R,R
1,C,73.0,205.0,7.19,74.0,2.1,South,100.1,R,R
0,C,72.0,205.0,7.48,81.0,2.1,South,96.0,R,R
1,C,70.0,195.0,7.58,73.0,2.1,South,92.0,R,R
0,C,68.0,170.0,7.42,76.0,2.0,West,82.1,R,R
0,C,70.0,185.0,7.25,77.0,2.0,Northeast,91.1,R,R
1,C,72.0,202.0,7.48,80.0,2.0,Northeast,96.9,R,R
0,C,67.0,145.0,7.35,70.0,2.1,Northeast,86.3,R,R
0,C,72.0,195.0,7.69,76.0,2.0,West,98.1,R,R
1,C,72.0,205.0,7.05,82.0,2.0,Northeast,100.9,R,R
0,C,71.0,165.0,7.52,73.0,2.1,Northeast,84.8,R,R
0,C,70.0,170.0,7.08,78.0,2.0,Midwest,94.6,R,S
1,C,72.0,175.0,7.06,77.0,2.0,South,96.4,R,L
1,C,73.0,190.0,7.29,78.0,2.0,West,95.3,R,R
0,C,72.0,211.0,7.56,80.0,1.9,South,92.8,R,R
1,C,70.0,185.0,6.75,83.0,1.9,Northeast,95.1,R,R
0,C,69.0,185.0,7.53,78.0,2.0,Northeast,94.9,R,R
0,C,69.0,188.0,7.04,71.0,2.1,Midwest,97.1,R,L
1,C,69.0,187.0,7.54,76.0,2.0,South,94.8,R,R
0,C,71.0,195.0,7.52,79.0,1.9,Midwest,97.7,R,R
0,C,72.0,178.0,6.9,76.0,2.0,South,92.0,R,R
0,C,70.0,175.0,7.85,72.0,2.1,Midwest,86.1,R,R
0,C,70.0,195.0,7.87,68.0,2.1,South,88.0,R,R
0,C,74.0,215.0,7.42,73.0,2.1,Midwest,95.2,R,R
0,C,70.0,176.0,7.84,74.0,2.1,Midwest,87.6,R,R
0,C,71.0,185.0,7.07,75.0,2.1,Midwest,98.0,R,R
0,C,71.0,185.0,7.17,74.0,2.2,Northeast,92.0,R,R
0,C,71.0,170.0,7.6,75.0,2.0,South,87.0,R,R
0,C,71.0,185.0,7.67,74.0,2.1,Midwest,99.0,R,R
0,C,69.0,190.0,8.28,63.0,2.2,Northeast,86.0,R,L
0,C,71.0,180.0,7.31,80.0,2.0,Northeast,97.8,R,R
1,C,73.0,185.0,6.72,79.0,2.0,South,98.3,R,R
0,C,75.0,190.0,7.72,73.0,2.0,Midwest,84.3,R,R
1,C,74.0,180.0,7.32,70.0,2.1,Northeast,85.0,R,R
1,C,73.0,205.0,7.48,80.0,2.0,Midwest,97.9,R,R
0,C,69.0,175.0,7.9,73.0,2.1,Northeast,83.6,R,R
0,C,71.0,170.0,7.61,77.0,2.0,South,84.0,R,R
0,C,73.0,155.0,7.4,72.0,2.2,Midwest,86.3,R,R
1,C,71.0,184.0,7.02,79.0,1.9,South,94.6,R,R
1,C,69.0,194.2,7.46,77.0,1.9,West,98.0,R,R
1,C,72.0,215.0,7.44,76.0,2.2,West,96.9,R,R
0,C,73.0,195.0,7.08,76.0,2.0,West,97.3,R,R
0,C,70.0,170.0,7.29,80.0,2.0,Midwest,89.6,R,R
0,C,69.0,160.0,7.39,74.0,2.1,West,88.3,R,R
0,C,74.0,200.0,7.36,83.0,1.9,Midwest,98.7,R,R
0,C,73.0,190.0,7.46,73.0,2.1,South,93.6,R,R
1,C,74.0,210.0,7.03,84.0,1.9,Midwest,102.9,R,R
0,C,70.0,195.0,7.04,77.0,1.9,Midwest,95.2,R,R
0,C,73.0,205.0,7.03,76.0,1.9,South,97.3,R,R
0,C,73.0,220.0,6.76,77.0,1.9,South,102.1,R,R
0,C,73.0,233.0,7.91,73.0,2.2,South,96.5,R,R
0,C,70.0,175.0,7.83,75.0,2.1,Midwest,86.7,R,R
0,C,71.0,205.0,7.15,76.0,2.1,South,97.5,R,R
1,C,75.0,205.0,7.18,82.0,1.9,Northeast,90.1,R,R
0,C,72.0,195.0,7.27,78.0,2.1,South,95.0,R,R
1,C,72.0,192.0,7.1,81.0,1.9,Northeast,98.6,R,R
0,C,73.0,215.0,7.02,76.0,2.1,Midwest,99.7,R,R
1,C,72.0,180.0,7.24,80.0,2.0,South,92.0,R,R
0,C,68.0,170.0,7.068531036376953,76.0,2.0,Northeast,89.9,R,R
0,C,70.0,180.0,7.19,73.0,2.0,Northeast,95.9,R,R
0,C,71.0,160.0,7.3,77.0,2.0,Northeast,87.4,R,R
0,C,68.0,165.0,8.62,66.0,2.5,South,78.0,R,R
0,C,72.0,170.0,7.36,79.0,2.0,Midwest,93.1,R,R
0,C,75.0,185.0,7.43,74.0,2.1,Midwest,84.0,R,R
0,C,70.0,195.0,7.62,78.0,1.9,South,95.7,R,R
1,C,72.0,195.0,7.27,72.0,2.1,Northeast,92.5,R,R
0,C,72.0,180.0,7.72,73.0,2.0,South,84.5,R,R
0,C,72.0,180.0,7.57,76.0,2.2,West,89.4,R,R
0,C,72.0,170.0,7.1,72.0,2.2,West,90.4,R,R
1,C,71.0,175.0,7.2,73.0,2.1,West,90.1,R,R
0,C,71.0,187.0,8.38,72.0,2.2,Northeast,82.0,R,R
0,C,72.0,220.0,7.54,67.0,2.2,South,85.2,R,R
0,C,69.0,155.0,7.55,75.0,2.2,South,86.7,R,R
0,C,72.0,210.0,8.16,74.0,2.3,Midwest,93.2,L,R
0,C,71.0,210.0,7.22,78.0,2.0,Midwest,98.8,R,R
0,C,70.0,212.5,7.61,75.0,2.0,South,96.7,R,R
0,C,70.0,190.0,7.95,70.0,2.4,South,87.0,R,R
0,C,70.0,170.0,7.47,73.0,2.0,Midwest,87.6,R,R
1,C,68.0,170.0,7.21,79.0,1.9,South,89.7,R,R
1,C,68.0,180.0,7.6,71.0,2.2,Northeast,88.6,R,L
0,C,72.0,231.5,7.43,77.0,2.1,South,97.8,R,R
0,C,71.0,190.0,7.79,77.0,2.3,Midwest,86.9,R,R
0,C,67.0,160.0,7.15,72.0,2.2,Midwest,87.2,R,L
0,C,75.0,180.0,7.51,77.0,1.9,Midwest,87.8,R,R
1,C,73.0,172.0,7.52,73.0,2.1,West,96.5,R,R
0,C,73.0,200.0,7.68,78.0,2.0,South,97.0,R,R
0,C,68.0,145.0,7.11,74.0,2.1,Midwest,89.0,R,L
1,C,74.0,220.0,7.06,78.0,2.0,West,102.5,R,R
0,C,77.0,230.0,7.4,72.0,2.0,Midwest,99.6,R,R
0,C,72.0,165.0,7.15,67.0,2.3,Midwest,82.4,R,R
0,C,71.0,190.0,7.07,69.0,2.2,Midwest,89.5,R,R
0,C,73.0,175.0,7.44,76.0,2.1,South,85.1,R,R
0,C,73.0,195.0,7.4,80.0,2.0,South,96.8,R,R
1,C,74.0,180.0,7.594643115997315,66.0,2.2,Northeast,79.9,R,R
0,C,75.0,190.0,7.8,76.0,2.2,South,91.1,R,R
0,C,69.0,175.0,7.2638421058654785,73.0,2.3,South,87.6,R,R
1,C,72.0,180.0,8.02,71.0,2.1,West,87.6,R,L
0,C,67.0,170.0,7.32,72.0,2.1,Midwest,90.1,R,R
1,C,73.0,190.0,7.31,77.0,2.1,Northeast,93.3,R,R
0,C,70.0,273.8,9.38,68.0,2.2,Northeast,86.8,R,R
1,C,69.0,165.0,7.43,76.0,2.0,Midwest,85.8,R,R
0,C,69.0,170.0,7.72,70.0,2.2,South,76.4,R,R
0,C,68.0,155.0,7.69,64.0,2.4,Midwest,81.0,R,R
1,C,71.0,170.0,7.15,79.0,1.9,West,93.7,R,R
0,C,70.0,195.0,7.33,75.0,2.0,South,89.5,R,R
1,C,75.0,210.0,6.69,85.0,1.8,Midwest,109.8,R,R
0,C,67.0,175.0,6.93,73.0,2.1,Midwest,78.0,R,R
0,C,71.0,162.0,7.91,73.0,2.1,South,80.0,R,R
1,C,70.0,160.0,6.9,79.0,1.8,South,94.4,R,R
0,C,71.0,175.0,7.95,71.0,2.4,Midwest,84.1,R,R
1,C,75.0,225.0,6.77,81.0,2.0,Northeast,98.0,R,R
0,C,69.0,175.0,7.47,78.0,2.1,South,90.5,R,R
0,C,73.0,222.5,7.12,70.0,2.1,West,93.8,R,R
0,C,73.0,205.0,7.49,82.0,2.1,Midwest,91.7,R,R
0,C,70.0,165.0,7.72,72.0,2.2,Midwest,84.8,R,R
0,C,72.0,205.0,7.31,76.0,2.1,Midwest,93.9,R,R
0,C,70.0,174.2,7.82,71.0,2.2,Northeast,85.8,R,L
0,C,73.0,185.0,7.18,71.0,2.2,Northeast,89.3,R,R
1,C,74.0,195.0,7.2,76.0,2.0,South,93.6,R,S
0,C,73.0,180.0,7.56,74.0,2.1,West,96.8,R,R
0,C,70.0,175.0,7.72,68.0,2.1,South,89.3,R,R
1,C,75.0,215.0,7.38,79.0,1.9,South,95.9,R,R
0,C,73.0,205.0,7.3,80.0,1.9,South,92.1,R,R
0,C,73.0,207.9,7.46,82.0,2.0,South,101.2,R,R
0,C,74.0,202.0,7.89,73.0,2.1,Midwest,89.8,R,R
0,C,72.0,165.0,7.52,71.0,2.1,Midwest,82.8,R,R
0,C,72.0,200.0,7.4,71.0,2.1,West,94.9,R,L
0,C,69.0,193.0,7.76,76.0,2.0,South,92.5,R,R
0,C,71.0,170.0,7.15,79.0,2.1,Midwest,84.3,R,R
0,C,73.0,210.0,7.3,79.0,1.9,Midwest,97.3,R,R
0,C,70.0,165.0,7.43,75.0,2.1,West,85.8,R,R
1,C,67.0,165.0,7.22,77.0,1.9,Midwest,91.0,R,R
1,C,74.0,195.0,7.35,79.0,2.0,South,93.8,R,R
1,C,74.0,215.0,7.17,80.0,2.0,Midwest,98.2,R,L
1,C,72.0,172.2,7.27,75.0,2.1,Midwest,88.9,R,L
0,C,71.0,165.0,7.34,77.0,1.9,Midwest,87.8,R,R
0,C,69.0,160.0,7.55,77.0,2.0,Northeast,87.5,R,R
0,C,74.0,210.0,7.24,77.0,2.0,West,95.6,R,R
0,C,70.0,185.0,7.03,77.0,2.0,Midwest,93.4,R,R
0,C,72.0,195.0,7.39,74.0,2.1,Midwest,92.2,R,R
0,C,66.0,177.5,6.86,78.0,2.1,Midwest,98.1,R,R
1,C,74.0,215.0,7.51,77.0,2.0,West,100.1,R,R
0,C,70.0,175.0,7.3,76.0,1.9,Northeast,88.1,R,R
0,C,70.0,190.0,7.22,78.0,1.9,Midwest,94.3,R,R
0,C,73.0,205.0,7.71,76.0,2.0,Midwest,103.7,R,R
1,C,73.0,161.8,7.01,78.0,2.0,South,92.9,R,L
1,C,73.0,205.0,7.45,77.0,1.9,South,97.2,R,R
0,C,70.0,200.0,7.16,77.0,1.9,South,93.4,R,R
0,C,72.0,189.0,7.44,80.0,2.1,South,90.5,R,R
0,C,71.0,180.0,7.3,76.0,2.2,Midwest,88.0,R,R
0,C,72.0,175.0,7.68,72.0,2.1,Midwest,77.0,R,R
0,C,71.0,165.0,7.42,72.0,2.1,Midwest,89.9,R,R
0,C,76.0,190.0,7.18,79.0,2.0,Midwest,97.5,R,S
0,C,68.0,160.0,7.345324516296387,68.0,2.3,Midwest,80.0,R,R
0,C,74.0,140.0,7.75,69.0,2.2,Midwest,79.0,R,R
0,C,72.0,180.0,6.86,78.0,2.0,Northeast,96.5,R,R
0,C,71.0,180.0,7.433533191680908,72.0,2.3,Midwest,87.9,R,R
0,C,73.0,195.0,7.26,77.0,2.0,Northeast,91.7,R,R
0,C,71.0,192.0,7.49,73.0,2.2,Midwest,92.8,R,L
0,C,70.0,170.0,7.57,73.0,2.1,Midwest,88.9,R,R
0,C,70.0,184.0,7.68,75.0,2.1,South,92.3,R,R
0,C,67.0,205.0,7.78,74.0,2.0,West,94.3,R,R
1,C,72.0,175.0,7.14,77.0,1.9,Midwest,86.3,R,R
0,C,74.0,165.0,8.02,71.0,2.0,Midwest,80.0,R,R
0,C,68.0,155.0,7.09,74.0,2.0,South,89.2,R,R
0,C,70.0,175.0,7.21,74.0,2.0,South,89.0,R,R
0,C,71.0,175.0,7.08,71.0,2.3,South,93.5,R,R
0,C,72.0,175.0,8.3,72.0,2.0,Midwest,85.9,R,R
1,C,71.0,170.0,7.42,73.0,2.1,South,85.8,R,L
1,C,71.0,210.0,7.38,73.0,2.0,West,95.2,R,R
1,C,70.0,200.0,7.85,77.0,2.0,Northeast,93.6,R,L
1,C,72.0,185.0,7.12,82.0,2.0,West,90.8,R,S
0,C,68.0,155.0,7.64,73.0,2.1,Midwest,83.8,R,R
1,C,72.0,180.0,7.38,75.0,2.0,South,91.2,R,R
0,C,72.0,165.0,7.245403289794922,75.0,2.1,Midwest,89.6,R,R
0,C,68.0,190.0,7.97,76.0,2.1,Midwest,91.9,R,R
0,C,72.0,175.0,7.62,74.0,2.1,South,90.1,R,R
0,C,70.0,210.0,7.62,74.0,2.0,Northeast,92.6,R,R
0,C,66.0,165.0,7.45,75.0,2.1,South,90.4,R,R
0,C,70.0,150.0,7.2,73.0,2.1,South,85.7,R,R
0,C,74.0,205.0,7.274709701538086,80.0,2.0,Midwest,89.8,L,R
0,C,72.0,210.0,7.72,68.0,2.4,Northeast,91.9,R,R
0,C,69.0,165.0,6.64,77.0,2.0,South,93.5,R,R
1,C,70.0,190.0,7.0,74.0,1.9,Midwest,93.0,R,R
0,C,69.0,146.8,6.99,72.0,2.0,Midwest,87.9,R,R
0,C,73.0,190.0,8.32,72.0,2.1,South,94.9,R,R
0,C,73.0,205.0,7.76,74.0,2.0,South,89.2,R,R
0,C,70.0,170.0,8.38,64.0,2.5,Midwest,79.1,R,R
1,C,72.0,185.0,7.15,81.0,1.9,Northeast,94.3,R,R
0,C,69.0,200.0,7.47,76.0,2.0,Northeast,94.7,R,R
0,C,72.0,200.0,7.25,77.0,2.0,Midwest,92.0,R,R
1,C,71.0,196.4,7.19,80.0,1.9,West,91.5,R,R
0,C,73.0,190.0,7.07,79.0,2.1,Midwest,94.4,R,R
0,C,71.0,175.0,7.25,72.0,2.0,Midwest,89.8,R,R
0,C,73.0,188.3,7.49,72.0,2.2,Northeast,88.0,R,R
1,C,73.0,200.0,7.18,81.0,1.9,Midwest,93.1,R,R
0,C,71.0,188.0,7.78,77.0,2.2,Midwest,90.5,R,R
0,C,71.0,180.0,7.34,74.0,2.0,Midwest,83.0,R,R
0,C,71.0,195.0,7.89,74.0,2.2,Northeast,89.6,R,R
0,C,67.0,175.0,7.98,74.0,2.1,Midwest,91.4,R,R
0,C,71.0,145.0,7.31,75.0,1.9,West,90.5,R,R
0,C,68.0,200.0,8.25,72.0,2.1,Midwest,88.8,R,R
1,C,71.0,195.0,7.88,75.0,2.0,Northeast,91.5,R,R
0,C,68.0,175.0,7.34,75.0,2.1,Midwest,88.0,R,L
0,C,70.0,170.0,7.57,77.0,2.1,Midwest,86.0,R,R
0,C,71.0,155.0,7.7,69.0,2.3,Midwest,74.0,R,R
1,C,71.0,210.0,7.37,74.0,2.0,South,91.0,R,R
1,C,71.0,190.0,7.07,81.0,1.9,West,93.3,R,R
0,C,73.0,195.0,7.42,72.0,2.2,South,95.8,R,R
0,C,69.0,180.0,8.27,68.0,2.4,South,77.0,R,R
0,C,70.0,175.0,7.77,70.0,2.2,Midwest,83.8,R,R
0,C,74.0,185.0,7.17,79.0,2.0,Midwest,90.1,R,R
0,C,73.0,212.0,7.68,78.0,2.0,Northeast,95.1,R,R
0,C,70.0,160.0,7.31,77.0,2.1,Midwest,85.4,R,R
1,C,70.0,190.0,7.03,77.0,2.0,South,95.6,R,R
1,C,73.0,215.0,7.57,76.0,2.0,South,93.0,R,R
0,C,73.0,185.0,7.27,79.0,2.0,South,95.9,R,R
0,C,70.0,165.0,6.91,73.0,2.1,Midwest,92.3,R,R
0,C,72.0,180.0,7.56,74.0,2.2,South,92.6,R,R
1,C,69.0,155.0,7.05,75.0,2.1,West,85.1,R,R
0,C,72.0,180.0,7.65,76.0,2.2,South,86.0,R,R
0,C,74.0,190.0,7.91,65.0,2.4,West,95.5,R,R
0,C,74.0,215.0,7.51,77.0,2.1,Midwest,87.0,R,R
0,C,75.0,200.0,7.46,69.0,2.2,South,94.9,R,R
0,C,70.0,210.0,8.08,72.0,2.2,Northeast,86.8,R,R
0,C,67.0,175.0,7.45,70.0,2.1,Northeast,83.0,R,L
0,C,72.0,193.0,7.16,83.0,1.9,Northeast,96.0,R,R
1,C,71.0,195.0,7.48,75.0,1.9,South,86.0,R,R
0,C,68.0,176.2,7.2,76.0,2.0,Northeast,94.0,R,R
0,C,72.0,176.0,7.97,70.0,2.2,South,86.6,R,R
0,C,74.0,190.0,7.28,80.0,1.9,Northeast,93.1,R,R
0,C,74.0,190.0,6.89,76.0,2.0,South,95.5,R,R
0,C,70.0,210.0,7.37,78.0,2.0,South,98.5,R,R
0,C,73.0,215.0,7.22,82.0,1.9,South,98.7,R,R
0,C,70.0,160.0,7.53,74.0,2.2,South,82.0,R,R
1,C,72.0,190.0,7.55,69.0,2.0,Northeast,91.5,R,R
1,C,71.0,190.0,7.54,84.0,1.9,Midwest,98.1,R,R
0,C,71.0,208.0,7.69,69.0,2.1,Midwest,91.2,R,L
0,C,71.0,168.0,7.61,75.0,2.1,Northeast,89.1,R,R
0,C,72.0,190.0,7.28,72.0,2.3,South,84.3,R,R
1,C,74.0,205.0,7.13,79.0,2.0,Midwest,104.7,R,L
0,C,72.0,235.0,7.74,71.0,2.1,South,94.5,R,R
0,C,73.0,235.0,7.54,79.0,2.0,Midwest,95.3,R,L
0,C,72.0,191.8,7.18,73.0,2.2,South,83.8,R,L
0,C,72.0,185.0,7.63,79.0,2.0,Midwest,91.0,R,R
1,C,70.0,165.0,7.75,75.0,2.0,Northeast,86.0,R,R
0,C,69.0,180.0,6.91,75.0,2.0,Midwest,93.8,R,R
0,C,70.0,180.0,7.52,73.0,2.2,Northeast,85.6,R,R
1,C,74.0,188.5,7.0,83.0,1.9,West,104.2,R,R
1,C,74.0,200.0,6.87,75.0,1.8,West,95.1,R,R
0,C,69.0,180.0,7.87,68.0,2.5,South,81.0,R,R
0,C,71.0,178.0,7.19,81.0,2.0,Midwest,97.6,R,R
1,C,71.0,192.0,7.52,74.0,2.1,South,90.9,R,R
0,C,75.0,200.0,7.16,78.0,2.0,South,99.6,R,R
0,C,72.0,200.0,7.17,72.0,2.0,West,98.3,R,R
0,C,76.0,175.0,7.86,71.0,2.1,Midwest,87.1,R,R
1,C,71.0,197.0,7.23,72.0,2.2,West,94.0,R,R
0,C,69.0,165.0,7.45,71.0,2.2,Northeast,89.2,R,L
0,C,69.0,145.0,7.51,72.0,2.2,Midwest,84.2,R,R
0,C,69.0,180.0,7.48,72.0,2.0,South,90.1,R,R
0,C,74.0,185.0,7.18,75.0,2.0,South,96.9,R,R
