p4_or_not,primary_position,height,weight,sixty_time,of_velo,player_region,exit_velo_max,throwing_hand,hitting_handedness
1,OF,75.0,220.0,7.534490585327148,,South,91.47080993652344,R,R
0,OF,70.0,170.0,6.42,88.0,South,92.0,L,L
1,OF,71.0,175.0,6.951424598693848,,South,94.37620544433594,R,R
0,OF,77.0,230.0,6.89,92.0,West,104.7,R,R
0,OF,74.0,210.0,7.144965171813965,,West,91.46443939208984,R,R
0,OF,75.0,195.0,6.8,89.0,Midwest,103.5,R,L
1,OF,75.0,205.0,6.88,82.0,Midwest,97.6,L,L
1,OF,70.0,178.8,6.66,92.0,South,99.2,R,L
0,OF,73.0,190.0,6.95,93.0,Midwest,86.0,R,R
0,OF,74.0,205.0,7.28,82.0,South,93.5,R,R
0,OF,71.0,170.0,6.78,88.0,Northeast,92.7,L,L
0,OF,66.0,130.0,7.59,,Northeast,83.3,R,L
0,OF,73.0,205.0,6.914555072784424,,Northeast,93.00507354736328,R,R
1,OF,70.0,140.0,7.4761128425598145,,South,87.85729217529297,R,R
0,OF,74.0,190.0,7.25,82.0,West,102.4,R,R
0,OF,69.0,170.0,7.089919090270996,,South,88.97306823730469,L,L
1,OF,72.0,195.0,7.061256408691406,,South,87.0,R,L
0,OF,72.0,175.0,6.75,81.0,West,96.0,L,L
1,OF,73.0,180.0,6.67,87.0,South,99.0,L,L
1,OF,70.0,190.0,7.008079528808594,,South,91.23944091796876,R,R
0,OF,74.0,180.0,7.01,87.0,Midwest,96.5,R,R
0,OF,71.0,165.0,6.7,86.0,West,92.0,L,L
1,OF,74.0,170.0,7.297109603881836,,West,89.4317855834961,L,L
0,OF,73.0,158.0,7.438610076904297,,South,85.9071273803711,R,R
1,OF,72.0,180.0,7.3668317794799805,,South,94.5155792236328,R,R
0,OF,70.0,190.0,7.06,86.0,Northeast,93.4,R,R
0,OF,75.0,185.0,6.73,94.0,South,99.9,L,L
0,OF,71.0,155.0,6.955865859985352,,South,94.4519500732422,R,L
0,OF,73.0,185.0,7.252712249755859,,South,87.47040557861328,R,R
0,OF,68.0,170.0,6.63,88.0,Northeast,94.0,R,R
1,OF,72.0,185.0,7.860029220581055,,South,86.92401885986328,R,R
1,OF,71.0,189.0,6.69,91.0,South,86.7,R,R
0,OF,73.0,190.0,6.45,89.0,Midwest,100.7,R,R
0,OF,68.0,165.0,6.71,85.0,Midwest,89.7,R,R
1,OF,73.0,172.0,6.913118362426758,,South,92.9635238647461,L,L
1,OF,74.0,185.0,7.281640529632568,,South,88.78252410888672,R,L
0,OF,72.0,193.3,6.93,92.0,Northeast,100.4,R,R
0,OF,71.0,150.0,6.98,83.0,South,85.9,R,L
1,OF,75.0,200.0,7.04,,Midwest,95.8,R,L
0,OF,73.0,185.0,7.11,76.0,West,95.5,R,R
0,OF,74.0,185.0,6.78,80.0,Midwest,90.0,R,R
0,OF,73.0,195.0,7.02,91.0,Northeast,92.8,L,L
1,OF,75.0,195.0,7.43,,South,96.5003433227539,L,L
1,OF,70.0,170.0,7.28,88.0,Northeast,91.6,L,L
0,OF,75.0,190.0,6.59,91.0,South,101.3,R,R
1,OF,74.0,170.0,6.19,82.0,West,100.2,R,L
0,OF,74.0,180.0,6.862859725952148,,South,95.98045349121094,L,L
1,OF,72.0,190.0,6.889946937561035,87.0,South,95.3,L,S
0,OF,72.0,180.0,6.98,83.0,South,90.9,L,L
0,OF,73.0,174.6,6.58,92.0,West,98.6,R,R
0,OF,71.0,185.0,7.066561698913574,,South,94.20157623291016,L,L
0,OF,70.0,170.0,6.98,82.0,South,83.0,R,R
0,OF,76.0,180.0,6.64,81.0,Midwest,88.3,R,R
1,OF,71.0,180.0,7.18,83.0,South,95.1,L,L
0,OF,72.0,180.0,7.149402141571045,,West,84.78864288330078,R,R
0,OF,70.0,160.0,7.21,83.0,South,91.0,R,R
0,OF,72.0,180.0,6.81,90.0,South,98.0,R,R
0,OF,74.0,217.0,6.83,95.0,South,112.3,R,R
0,OF,74.0,195.0,6.6,87.0,South,102.1,R,R
0,OF,70.0,170.0,6.97,80.0,Midwest,89.5,R,R
0,OF,76.0,205.0,7.0332112312316895,,South,93.70733642578124,R,R
0,OF,73.0,170.0,8.02,84.0,Midwest,86.7,L,L
1,OF,74.0,180.0,6.77,83.0,West,98.1,L,L
0,OF,73.0,205.0,7.03,89.0,South,101.8,R,R
0,OF,74.0,205.0,7.28,88.0,South,94.4,R,R
0,OF,73.0,165.0,7.1,73.0,West,81.0,L,L
0,OF,74.0,160.0,7.5577921867370605,,Midwest,89.38350677490234,L,L
1,OF,71.0,160.0,6.33,87.0,South,96.1,R,R
0,OF,72.0,170.0,7.3,,Northeast,87.1,L,L
0,OF,73.0,195.0,6.93,82.0,Midwest,105.0,R,R
0,OF,75.0,168.0,7.85,84.0,Northeast,92.3,R,R
1,OF,72.0,184.0,7.39,85.0,West,94.0,R,R
0,OF,74.0,175.0,7.05,74.0,Midwest,88.1,R,R
0,OF,71.0,160.0,7.14,78.0,Northeast,82.0,L,L
1,OF,74.0,205.0,6.62,90.0,Midwest,103.5,R,R
0,OF,70.0,165.0,7.6,68.0,Northeast,80.0,R,R
0,OF,75.0,210.0,6.64,85.0,West,97.7,R,R
0,OF,71.0,155.0,6.59,78.0,Northeast,91.7,L,L
0,OF,69.0,145.0,7.44,82.0,Northeast,89.9,R,R
0,OF,71.0,155.0,7.370725631713867,,South,85.2,L,L
0,OF,70.0,186.0,7.0,77.0,Northeast,88.0,R,L
0,OF,72.0,180.0,7.11,86.0,West,85.9,R,R
0,OF,72.0,170.0,6.69,91.0,Midwest,95.0,R,R
0,OF,72.0,170.0,6.9,89.0,South,88.0,R,R
0,OF,73.0,180.0,7.24,88.0,South,93.6,R,R
0,OF,73.0,175.0,7.09,91.0,Midwest,89.5,L,R
1,OF,73.0,180.0,7.42628288269043,,Northeast,88.70616149902344,R,R
1,OF,74.0,215.0,7.08,87.0,West,99.1,R,L
1,OF,72.0,180.0,7.308793067932129,87.0,South,102.3,R,R
1,OF,68.0,185.0,6.81,91.0,South,102.3,R,L
0,OF,72.0,164.0,7.62,81.0,South,87.8,R,L
0,OF,70.0,175.0,7.339992523193359,,West,92.9432601928711,L,L
0,OF,70.0,155.0,7.16,82.0,South,95.1,L,L
0,OF,71.0,160.0,7.6540961265563965,,South,94.43133544921876,R,R
1,OF,71.0,195.0,6.79,83.0,South,91.0,R,R
0,OF,77.0,205.0,6.62,,South,100.3,L,L
1,OF,69.0,183.0,6.69,93.0,South,93.3,L,R
0,OF,73.0,190.0,6.97,84.0,West,84.0,R,L
1,OF,72.0,175.0,7.13294792175293,,South,95.48896026611328,L,L
1,OF,75.0,195.0,6.64,86.0,South,96.6,R,R
0,OF,71.0,175.0,6.7,83.0,Northeast,99.3,R,R
0,OF,76.0,190.0,7.057593822479248,,West,92.6,L,L
0,OF,71.0,180.0,6.45,84.0,West,100.3,R,S
0,OF,76.0,216.5,7.55,90.0,Northeast,97.3,R,R
1,OF,74.0,180.0,7.88,80.0,South,87.0,R,R
1,OF,72.0,195.0,6.95,97.0,South,100.7,R,R
1,OF,73.0,175.0,7.134471416473389,,South,93.23646545410156,R,R
0,OF,73.0,178.1,6.93,80.0,Northeast,95.5,L,R
0,OF,74.0,204.0,6.94,96.0,South,101.7,R,R
0,OF,76.0,185.0,7.176225662231445,,West,94.8,R,R
0,OF,76.0,190.0,6.49,94.0,West,93.6,R,R
0,OF,70.0,180.0,7.52,84.0,South,96.1,L,L
0,OF,75.0,195.0,6.79,83.0,South,95.6,R,L
0,OF,72.0,195.0,6.7,89.0,Midwest,97.3,R,R
0,OF,70.0,165.0,6.76,92.0,South,91.0,L,L
1,OF,71.0,175.0,6.63,85.0,Midwest,98.2,L,L
0,OF,73.0,170.0,7.01,89.0,Northeast,91.46435546875,R,R
1,OF,68.0,145.0,6.906708717346191,,South,92.69464111328124,R,L
0,OF,71.0,140.0,7.29,85.0,South,95.8,L,L
0,OF,70.0,145.0,7.540786266326904,,South,95.67108917236328,L,L
1,OF,71.0,175.0,6.906734466552734,,West,93.81590270996094,R,R
0,OF,76.0,225.0,7.3004255294799805,89.0,South,100.3,L,R
0,OF,73.0,195.0,6.96,90.0,South,91.0,R,R
0,OF,73.0,185.0,6.98,92.0,West,103.4,R,L
0,OF,71.0,185.0,7.0,87.0,South,95.1,R,L
0,OF,72.0,175.0,6.89,90.0,Midwest,96.6,R,R
0,OF,74.0,195.0,7.22,85.0,South,94.0,L,L
0,OF,72.0,185.0,7.36,80.0,Northeast,91.0,R,R
0,OF,73.0,190.0,7.08,82.0,South,97.4,R,R
0,OF,70.0,165.0,7.11,83.0,Northeast,89.6,R,L
0,OF,69.0,190.0,6.65,88.0,Northeast,98.7,R,L
0,OF,76.0,180.3,6.89,90.0,South,101.2,R,R
0,OF,73.0,195.0,6.8,95.0,Northeast,92.0,L,L
0,OF,76.0,175.5,6.77,92.0,Midwest,95.2,R,L
1,OF,73.0,190.0,6.59,87.0,South,99.1,R,R
1,OF,73.0,190.0,6.59,87.0,South,99.1,R,R
0,OF,72.0,190.0,7.44,78.0,Midwest,94.5,R,L
0,OF,73.0,190.0,7.05,93.0,Midwest,94.3,R,R
1,OF,77.0,215.0,7.19,85.0,South,96.5,L,L
0,OF,71.0,182.0,6.75,85.0,Northeast,99.9,L,R
0,OF,71.0,180.0,6.990994930267334,,South,90.84494018554688,R,R
0,OF,71.0,180.0,7.03,79.0,South,89.82967376708984,R,R
0,OF,72.0,175.0,7.616371154785156,,West,86.615234375,R,R
1,OF,72.0,180.0,7.37,90.0,Midwest,96.2,R,R
0,OF,72.0,170.0,7.210119724273682,,South,88.58715057373047,R,R
0,OF,74.0,188.0,7.510871887207031,,Northeast,91.90718841552734,L,R
1,OF,78.0,225.0,7.53,,South,89.0,R,R
1,OF,70.0,135.0,7.1404128074646,,South,93.86097717285156,R,R
0,OF,74.0,160.0,6.881478786468506,,South,94.2856216430664,R,L
0,OF,71.0,170.0,6.6,92.0,Northeast,98.4,R,R
0,OF,76.0,200.0,7.3,86.0,South,96.9,R,R
1,OF,70.0,178.0,7.0078206062316895,,Midwest,93.8972625732422,L,L
1,OF,72.0,194.7,6.54,95.0,South,108.1,R,R
0,OF,72.0,170.0,7.345907211303711,,South,84.76334381103516,R,R
0,OF,69.0,160.0,6.68,76.0,South,88.4,L,L
0,OF,72.0,162.0,6.72,88.0,South,99.4,L,L
0,OF,70.0,170.0,7.451894283294678,,West,89.9946517944336,L,L
0,OF,78.0,210.0,6.92,90.0,West,96.5,R,R
1,OF,69.0,170.0,7.164137840270996,,South,97.36963653564452,R,L
1,OF,73.0,195.0,6.79,89.0,Midwest,101.9,R,L
1,OF,72.0,185.0,6.91,87.0,Midwest,94.0,L,L
1,OF,72.0,175.0,6.52,,Midwest,95.1,R,R
0,OF,75.0,215.0,6.86,88.0,South,100.2,R,R
0,OF,69.0,166.7,6.64,91.0,Midwest,97.2,L,L
0,OF,71.0,193.0,6.59,91.0,Midwest,99.3,R,R
0,OF,70.0,170.0,6.97,84.0,Northeast,87.0,R,L
0,OF,72.0,206.8,6.85,89.0,Midwest,98.9,L,L
1,OF,76.0,210.0,7.006282806396484,,South,99.07080841064452,R,R
0,OF,72.0,178.0,7.47,78.0,Northeast,79.0,L,L
1,OF,73.0,185.0,6.79,84.0,South,100.1,L,L
1,OF,65.0,150.0,6.49,82.0,Midwest,92.4,R,R
0,OF,75.0,200.0,6.94,90.0,South,99.0,R,R
0,OF,74.0,190.0,6.87,92.0,Northeast,94.2,R,L
0,OF,69.0,157.0,6.78,84.0,South,91.7,L,L
0,OF,70.0,155.0,6.78,79.0,South,81.0,L,R
0,OF,73.0,205.0,6.78,87.0,West,95.8,R,R
0,OF,68.0,145.0,6.74,73.0,West,78.0,R,R
1,OF,73.0,185.0,6.96,83.0,South,94.0,R,R
0,OF,74.0,185.0,7.29,90.0,Midwest,93.9,L,L
1,OF,72.0,180.0,6.22,94.0,South,100.1,R,R
0,OF,74.0,170.0,6.985327243804932,,South,93.0,R,R
0,OF,72.0,185.0,7.14,91.0,Midwest,94.6,L,L
1,OF,70.0,165.0,6.949053764343262,,South,88.12724304199219,R,R
0,OF,71.0,175.0,6.33,84.0,South,96.5,R,R
1,OF,70.0,158.0,7.31,81.0,West,86.5,L,L
1,OF,72.0,190.0,7.299813747406006,,West,91.6101531982422,R,L
1,OF,69.0,182.0,7.0,84.0,South,95.7,L,L
0,OF,71.0,150.0,6.98,86.0,South,90.5,R,R
0,OF,72.0,173.0,6.79,88.0,Northeast,94.0,L,L
0,OF,73.0,190.0,6.73,90.0,South,103.5,R,R
0,OF,69.0,172.0,6.63,83.0,Northeast,95.8,R,R
1,OF,73.0,180.0,6.55,101.0,Midwest,98.5,R,R
0,OF,74.0,200.0,7.116243362426758,,South,90.96472930908205,L,L
1,OF,74.0,193.0,7.08,88.0,West,100.1,R,L
0,OF,71.0,178.0,6.43,88.0,Northeast,95.3,R,R
1,OF,74.0,190.0,7.603442192077637,,South,89.22820281982422,R,S
0,OF,71.0,190.0,7.04,86.0,Midwest,97.1,R,L
0,OF,72.0,205.0,6.55,89.0,Midwest,105.1,R,R
0,OF,75.0,197.0,7.48,81.0,South,89.1,L,L
0,OF,67.0,150.0,6.92,91.0,South,90.8,R,R
0,OF,72.0,185.0,6.68,80.0,South,89.0,R,R
0,OF,72.0,185.0,7.13,89.0,South,92.8,R,R
1,OF,71.0,185.0,6.82,,South,89.0,R,R
1,OF,73.0,203.0,7.03,85.0,South,101.6,R,R
0,OF,71.0,170.0,6.81,83.0,South,91.4,L,L
0,OF,74.0,195.0,6.7,95.0,South,93.7,R,R
0,OF,73.0,155.0,7.324853897094727,77.0,West,77.0,L,L
1,OF,72.0,175.7,6.71,91.0,South,97.9,R,R
0,OF,73.0,205.0,6.874462127685547,,South,102.7,R,R
1,OF,77.0,187.6,6.78,94.0,South,97.5,L,L
1,OF,73.0,200.0,6.65,82.0,South,90.0,R,R
0,OF,75.0,190.0,7.176513671875,,West,90.6860580444336,R,R
0,OF,74.0,188.0,6.92,88.0,South,98.7,R,R
1,OF,72.0,205.0,6.74,91.0,South,104.9,L,R
1,OF,73.0,200.0,7.14095401763916,,West,93.18684387207033,L,L
1,OF,71.0,175.0,7.0838751792907715,,West,90.01547241210938,L,L
0,OF,72.0,198.4,7.02,88.0,West,103.8,L,L
1,OF,69.0,170.0,6.56,84.0,Midwest,94.2,R,R
0,OF,68.0,180.0,6.84,83.0,Northeast,95.2,R,L
0,OF,70.0,175.0,6.72,89.0,Northeast,98.9,R,R
0,OF,70.0,171.0,6.5,86.0,South,94.0,R,R
0,OF,76.0,210.0,6.8,86.0,West,105.0,R,R
1,OF,74.0,200.0,7.098890781402588,,South,93.1776123046875,R,R
1,OF,73.0,185.0,7.3257646560668945,,South,86.82281494140625,R,R
1,OF,72.0,190.0,7.162008762359619,,South,90.84291076660156,R,R
0,OF,70.0,190.0,7.0,94.0,South,93.2,R,R
0,OF,73.0,180.0,6.9,91.0,South,97.7,R,R
0,OF,71.0,185.0,7.21,84.0,South,81.5,R,R
0,OF,71.0,180.0,7.349153995513916,,South,99.6,R,R
0,OF,75.0,200.0,7.170307636260986,,South,87.65960693359375,R,R
0,OF,72.0,201.0,7.0,85.0,West,88.0,R,R
1,OF,72.0,180.0,6.5,81.0,Midwest,98.0,R,R
0,OF,73.0,170.0,6.59,85.0,Northeast,92.1,R,R
0,OF,70.0,172.0,6.55,86.0,Midwest,94.1,R,R
0,OF,71.0,180.0,7.0,88.0,South,94.9,L,R
1,OF,72.0,195.0,7.268157482147217,88.0,South,98.2,R,R
1,OF,75.0,215.0,6.974651336669922,,South,92.4630355834961,R,L
1,OF,72.0,190.0,6.73,93.0,South,101.7,L,S
1,OF,75.0,167.0,7.045495986938477,,South,94.41587829589844,R,R
0,OF,70.0,165.0,6.68,76.0,South,91.9,R,L
1,OF,70.0,170.0,6.7,90.0,Northeast,93.0,R,R
0,OF,71.0,180.0,7.23,87.0,South,99.0,R,R
0,OF,74.0,151.5,7.03,93.0,Northeast,93.1,R,R
1,OF,73.0,210.0,6.94,92.0,Northeast,102.2,R,R
1,OF,70.0,205.0,7.42250919342041,70.0,South,102.2,R,R
1,OF,75.0,180.0,7.57,82.0,Midwest,88.3,L,L
0,OF,75.0,185.0,6.76,81.0,South,92.9,R,L
0,OF,71.0,185.0,6.74,91.0,South,98.2,L,L
0,OF,73.0,165.0,6.87,86.0,South,99.0,R,R
1,OF,72.0,195.0,6.9,85.0,South,94.3,R,R
0,OF,72.0,190.0,6.86,85.0,Northeast,101.5,R,R
0,OF,75.0,206.0,6.94,,South,89.1,R,R
0,OF,75.0,218.0,7.1,88.0,Northeast,98.5,R,R
0,OF,75.0,215.0,6.61,85.0,South,94.7,R,R
1,OF,76.0,205.0,6.98,93.0,South,104.1,R,R
0,OF,72.0,190.0,7.099084854125977,,West,87.10801696777344,R,L
0,OF,71.0,170.0,6.68,92.0,Northeast,91.8,R,R
0,OF,72.0,183.6,6.81,96.0,Midwest,103.6,R,R
0,OF,72.0,170.0,6.4,82.0,South,97.3,R,L
0,OF,72.0,201.0,6.76,90.0,Northeast,101.0,L,L
0,OF,74.0,175.0,7.080077171325684,,Midwest,88.95877838134766,R,L
0,OF,69.0,180.0,7.14,85.0,South,89.1,R,R
0,OF,75.0,190.0,6.7667999267578125,,Northeast,90.32723236083984,R,L
0,OF,72.0,213.4,7.05,89.0,South,93.9,L,L
1,OF,74.0,175.0,6.85,88.0,West,90.8,R,R
0,OF,73.0,200.0,7.36,86.0,South,88.2,R,L
0,OF,73.0,175.0,6.91,86.0,South,96.3,R,R
0,OF,65.0,160.0,7.29,85.0,Northeast,92.1,R,L
0,OF,74.0,200.0,6.72,84.0,Northeast,94.8,R,R
0,OF,73.0,180.0,7.35,84.0,South,87.0,R,R
1,OF,77.0,193.6,6.69,94.0,Midwest,101.5,R,L
1,OF,70.0,177.7,6.43,85.0,South,93.6,R,L
0,OF,71.0,195.0,7.07830286026001,,South,93.38512420654295,R,R
0,OF,72.0,175.0,6.5,86.0,Northeast,102.2,R,L
0,OF,73.0,182.0,7.23,87.0,South,98.6,L,L
0,OF,72.0,180.0,7.114628791809082,,South,86.92697143554688,R,R
0,OF,70.0,154.0,6.61,90.0,South,93.6,R,R
1,OF,74.0,195.0,7.1525959968566895,,South,97.26813507080078,R,R
0,OF,71.0,185.0,7.026540279388428,,West,95.47156524658205,R,R
0,OF,72.0,189.2,6.9,92.0,Northeast,97.7,R,L
1,OF,75.0,190.0,6.71,89.0,South,97.5,R,R
1,OF,74.0,180.0,7.319938659667969,,West,91.14618682861328,R,R
0,OF,70.0,170.0,7.05,80.0,Northeast,90.6,L,L
1,OF,70.0,135.0,7.184920787811279,,South,94.02072143554688,L,L
0,OF,72.0,160.0,7.017393589019775,,West,95.85802459716795,L,L
0,OF,70.0,180.0,7.61,82.0,Midwest,92.9,L,L
0,OF,75.0,195.0,7.490194320678711,,South,97.47872161865234,L,L
0,OF,72.0,180.0,6.8,85.0,South,100.1,L,R
1,OF,72.0,205.0,6.63,91.0,Midwest,101.7,R,R
1,OF,70.0,175.0,6.4,88.0,Midwest,101.7,R,R
1,OF,75.0,192.0,6.69,94.0,South,97.2,L,L
0,OF,72.0,180.0,6.909982681274414,,West,92.78516387939452,R,L
1,OF,72.0,165.0,7.41,75.0,West,91.2,R,L
0,OF,74.0,175.0,7.258551120758057,,South,92.9541473388672,R,R
0,OF,72.0,180.0,7.37,90.0,Northeast,97.6,R,L
0,OF,74.0,190.0,7.1,89.0,Northeast,97.4,R,R
0,OF,70.0,165.0,7.394758224487305,,West,95.2,R,R
0,OF,70.0,170.0,7.42,84.0,West,93.1,L,L
0,OF,71.0,155.0,7.735987186431885,,West,85.80603790283203,R,R
1,OF,73.0,175.0,6.73,89.0,South,96.7,R,R
1,OF,72.0,195.0,6.78,89.0,Midwest,95.6,L,L
0,OF,70.0,180.0,7.07,82.0,South,95.2,L,L
1,OF,70.0,190.0,7.171019077301025,,Midwest,88.87425231933594,L,L
1,OF,72.0,170.0,6.5,86.0,South,95.5,R,R
0,OF,69.0,175.0,7.235019683837891,81.0,South,88.0,L,L
1,OF,73.0,185.0,6.96,88.0,South,97.5,R,R
0,OF,67.0,155.0,7.33,84.0,West,89.85505676269531,L,L
0,OF,72.0,188.0,7.23,81.0,South,99.1,L,L
1,OF,70.0,180.0,6.55,94.0,West,97.6,R,R
0,OF,72.0,155.0,6.867405414581299,,South,94.53923034667967,R,R
0,OF,70.0,185.0,6.95,83.0,South,94.7,R,R
0,OF,75.0,195.0,7.1,92.0,Northeast,99.4,R,R
0,OF,71.0,160.0,7.1533403396606445,,South,92.23149871826172,R,R
0,OF,74.0,200.0,7.22,86.0,Midwest,91.9,L,L
0,OF,73.0,190.0,7.376548290252685,,South,98.5270004272461,R,R
0,OF,71.0,180.0,7.328024864196777,,Northeast,90.51721954345705,R,R
0,OF,69.0,200.0,6.89,91.0,Northeast,98.2,R,R
0,OF,72.0,165.0,6.48,87.0,Northeast,89.8,R,L
0,OF,71.0,195.0,6.98,85.0,West,94.9,R,R
0,OF,72.0,190.0,7.42,83.0,Northeast,88.8,R,R
0,OF,69.0,178.0,6.81,89.0,West,92.1,R,L
0,OF,74.0,205.0,7.05,83.0,Northeast,94.7,R,R
0,OF,74.0,195.0,6.95,86.0,Midwest,97.0,R,R
1,OF,70.0,170.0,6.42,97.0,Midwest,90.8,L,L
0,OF,73.0,215.0,6.96,89.0,Northeast,97.6,R,R
0,OF,73.0,200.0,7.137020587921143,,South,90.18195343017578,R,R
0,OF,74.0,195.0,6.9,87.0,Midwest,94.2,R,L
0,OF,71.0,181.0,6.7,93.0,Northeast,98.0,R,R
0,OF,74.0,195.0,6.8851189613342285,,Northeast,97.95011901855467,R,L
0,OF,73.0,190.0,7.07,84.0,South,95.7,R,R
0,OF,74.0,175.0,6.68,89.0,South,92.1,R,R
0,OF,72.0,165.0,6.84,89.0,South,98.7,R,R
0,OF,72.0,192.0,6.3966064453125,,South,86.24307250976562,R,L
0,OF,74.0,200.0,6.95,82.0,West,96.2,L,L
0,OF,71.0,167.6,7.11,92.0,West,93.8,R,R
1,OF,69.0,152.8,7.01,86.0,South,92.6,L,L
1,OF,74.0,175.0,7.13,89.0,South,91.1,L,L
1,OF,77.0,190.0,6.77,83.0,West,94.9,R,R
1,OF,69.0,184.5,6.75,94.0,Midwest,98.1,L,L
0,OF,71.0,175.0,6.9,86.0,South,97.8,L,L
0,OF,71.0,159.0,6.66,83.0,South,95.8,L,L
0,OF,75.0,195.0,7.33,91.0,South,90.8,R,L
0,OF,71.0,170.0,7.12,81.0,West,87.7,L,L
1,OF,72.0,185.0,6.6,82.0,West,98.1,R,L
0,OF,72.0,185.0,6.59,82.0,South,93.7,R,R
1,OF,70.0,145.0,6.38,81.0,South,86.0,L,L
0,OF,69.0,162.0,7.16,85.0,Midwest,94.8,R,L
0,OF,70.0,167.0,6.82,89.0,Northeast,95.4,L,L
0,OF,72.0,190.0,7.396139621734619,,South,90.5522689819336,R,L
0,OF,72.0,185.0,7.08,92.0,South,95.5,R,L
0,OF,72.0,175.0,7.4,81.0,Northeast,90.7,L,L
1,OF,72.0,185.0,6.22,88.0,Midwest,96.0,R,R
0,OF,70.0,163.0,7.05,85.0,West,98.9,R,R
0,OF,71.0,175.0,6.4,85.0,Midwest,90.0,R,L
0,OF,76.0,195.0,7.79,81.0,Midwest,92.5,R,L
0,OF,73.0,165.0,6.809575080871582,,South,98.30221557617188,R,R
0,OF,69.0,165.0,6.95,82.0,Northeast,90.4,R,R
0,OF,74.0,210.0,6.48,93.0,Midwest,98.2,R,R
1,OF,72.0,179.2,6.69,92.0,West,103.7,L,L
0,OF,75.0,215.0,7.21,86.0,Midwest,103.6,L,L
0,OF,74.0,180.0,7.19,86.0,Midwest,86.0,L,L
1,OF,74.0,205.0,7.813518524169922,,South,85.19369506835938,R,L
0,OF,74.0,185.0,6.73,88.0,South,94.7,R,R
1,OF,72.0,175.0,6.66,88.0,West,95.1,R,R
0,OF,73.0,195.0,6.83,86.0,South,97.3,R,L
0,OF,69.0,182.0,7.248983383178711,,South,87.01173400878906,R,L
0,OF,74.0,170.0,7.01,82.0,Midwest,88.9,L,R
0,OF,69.0,178.0,7.076937198638916,,West,88.83425903320312,L,L
1,OF,71.0,184.0,6.8,80.0,Midwest,94.6,L,L
1,OF,71.0,160.0,7.12,77.0,West,96.8,R,L
0,OF,69.0,145.0,7.198742389678955,,South,94.53203582763672,L,L
0,OF,72.0,170.0,7.179949760437012,,West,92.2064208984375,R,L
1,OF,70.0,181.0,6.57,94.0,South,97.8,L,L
0,OF,71.0,170.0,6.97,93.0,South,87.4,R,S
0,OF,72.0,175.0,6.990087032318115,,South,93.1066665649414,R,R
0,OF,68.0,181.0,6.88,91.0,Northeast,92.8,L,L
0,OF,70.0,155.0,6.79,88.0,Northeast,93.3,L,L
1,OF,71.0,190.0,6.9,90.0,South,91.6,L,L
1,OF,64.0,110.0,7.225940227508545,,Northeast,89.13239288330078,R,L
0,OF,71.0,185.0,7.388613224029541,,Northeast,93.61011505126952,R,R
1,OF,72.0,180.0,7.49,77.0,Midwest,84.0,R,L
0,OF,69.0,160.0,7.143073558807373,,South,93.48345184326172,R,L
1,OF,72.0,150.0,7.120038986206055,90.0,South,95.1,R,R
1,OF,72.0,179.9,6.34,95.0,West,95.8,R,R
0,OF,75.0,208.0,7.0,88.0,Midwest,95.3,R,R
1,OF,75.0,195.0,7.56,83.0,Northeast,77.0,L,L
0,OF,73.0,190.0,7.1,,South,93.2,R,L
1,OF,74.0,200.0,6.845153331756592,,West,93.1658935546875,R,R
0,OF,71.0,200.0,6.8,83.0,Northeast,90.0,L,R
1,OF,76.0,190.0,6.54,86.0,South,93.3,L,L
0,OF,75.0,190.0,7.227313995361328,,South,88.47251892089844,R,R
1,OF,75.0,220.0,6.64,90.0,Midwest,109.2,R,S
1,OF,75.0,180.0,6.85,93.0,South,99.7,L,L
1,OF,75.0,200.0,6.71,82.0,South,92.3,R,R
1,OF,75.0,225.0,6.65,71.0,South,103.7,R,R
1,OF,73.0,170.0,7.068521976470947,86.0,South,88.5,L,L
1,OF,75.0,180.0,7.086867332458496,,West,91.35923767089844,L,L
1,OF,73.0,200.0,6.949211120605469,,South,93.18059539794922,R,R
0,OF,70.0,153.0,6.72,84.0,South,75.0,L,L
1,OF,70.0,170.0,7.31,87.0,South,90.0,R,R
0,OF,73.0,170.0,7.964212894439697,,West,88.9863052368164,R,R
1,OF,76.0,185.0,7.065077304840088,,West,88.9632797241211,R,R
0,OF,72.0,186.0,6.96,90.0,Northeast,92.6,L,L
1,OF,72.0,190.0,6.42,88.0,Northeast,98.8,R,L
1,OF,75.0,175.0,7.31,84.0,West,91.1,R,R
1,OF,68.0,160.0,7.576075077056885,,South,75.7,R,L
1,OF,76.0,190.0,6.79,89.0,South,93.8,R,R
0,OF,74.0,196.9,6.73,88.0,West,100.1,R,L
0,OF,75.0,205.0,7.21,92.0,South,98.5,R,R
0,OF,69.0,155.0,7.236141681671143,,West,92.23783111572266,R,L
0,OF,72.0,167.0,6.89,91.0,South,95.6,R,R
0,OF,74.0,190.0,7.17,85.0,West,87.0,L,L
1,OF,76.0,199.0,7.004623889923096,,West,89.08226776123047,R,R
0,OF,74.0,193.0,6.96,86.0,South,92.54977416992188,R,R
0,OF,71.0,185.0,7.29,95.0,West,100.4,R,R
0,OF,71.0,175.0,6.8,85.0,Northeast,96.6,R,R
1,OF,73.0,170.0,7.305580615997315,,Midwest,95.77600860595705,R,R
1,OF,71.0,160.0,6.659576416015625,,South,87.17623138427734,R,R
1,OF,76.0,210.0,7.359734058380127,,South,99.2,R,R
