p4_or_not,primary_position,height,weight,sixty_time,of_velo,player_region,exit_velo_max,throwing_hand,hitting_handedness
0,OF,72.0,180.0,7.093507766723633,87.0,South,96.0,R,R
0,OF,73.0,180.0,7.06,83.0,Midwest,92.5,L,L
0,OF,76.0,195.8,6.41,81.0,South,100.8,R,R
1,OF,76.0,188.0,7.1,86.0,South,96.6,L,L
0,OF,72.0,180.0,6.98,93.0,West,96.6,R,L
0,OF,72.0,190.0,6.82,82.0,Midwest,100.0,R,L
0,OF,74.0,205.0,7.16,83.0,West,97.1,R,R
0,OF,75.0,195.0,6.73,90.0,South,90.6,R,R
0,OF,71.0,178.0,6.58,85.0,South,98.2,R,R
0,OF,68.0,165.0,7.36,74.0,South,81.0,L,L
0,OF,72.0,179.0,6.74,94.0,Midwest,100.3,R,L
0,OF,73.0,175.0,6.86,90.0,Midwest,93.6,R,R
0,OF,72.0,180.0,7.1,84.0,Northeast,91.8,R,R
0,OF,76.0,190.0,8.54,,South,78.2,R,R
0,OF,69.0,130.0,6.718739032745361,,South,94.28876495361328,R,R
0,OF,73.0,170.0,7.03,82.0,Northeast,92.5,R,R
0,OF,69.0,178.0,6.94,78.0,Midwest,94.5,L,L
1,OF,76.0,225.0,7.38,86.0,South,93.5,R,R
0,OF,71.0,170.0,7.18342924118042,,Northeast,97.12399291992188,R,R
0,OF,73.0,185.0,7.41,87.0,West,88.9,R,L
1,OF,74.0,194.7,6.92,79.0,South,91.5589599609375,R,L
0,OF,71.0,180.0,7.13,88.0,Midwest,95.0,L,L
0,OF,74.0,183.9,6.99,88.0,South,96.2,R,R
0,OF,70.0,160.0,6.95,96.0,Northeast,87.98831176757812,R,R
0,OF,71.0,185.0,6.84,88.0,South,92.9,R,R
1,OF,70.0,165.0,7.15,86.0,West,100.1,L,L
1,OF,74.0,200.0,6.7,83.0,Northeast,96.7,L,L
1,OF,75.0,190.0,6.97,73.0,South,87.0,R,R
1,OF,74.0,205.0,6.86,90.0,South,97.3,R,L
0,OF,69.0,175.0,6.8,87.0,Northeast,96.0,R,R
1,OF,74.0,185.0,7.07,,South,94.2,R,L
0,OF,70.0,160.0,7.063063621520996,,South,88.7374267578125,R,R
1,OF,72.0,190.0,7.276535987854004,,South,84.79410552978516,L,L
0,OF,73.0,160.0,6.76,90.0,South,87.0,R,R
0,OF,69.0,170.0,7.39,80.0,South,82.0,L,L
0,OF,72.0,185.0,7.487534523010254,,South,91.51749420166016,R,R
1,OF,74.0,170.0,7.11,81.0,South,97.5,R,L
0,OF,73.0,175.0,6.8,89.0,Northeast,96.6,R,R
0,OF,71.0,180.0,7.71,73.0,South,97.1,L,L
0,OF,75.0,185.0,6.89,80.0,South,92.9,L,L
1,OF,74.0,170.0,7.19,82.0,South,87.0,R,L
1,OF,75.0,190.0,7.415323734283447,,South,88.39283752441406,L,L
0,OF,73.0,180.0,6.85,88.0,Northeast,94.3,R,R
1,OF,70.0,150.0,6.63,82.0,South,90.06900787353516,R,R
1,OF,73.0,185.0,6.69,88.0,South,88.0,L,L
1,OF,74.0,208.0,7.344585418701172,,South,86.12128448486328,L,L
1,OF,70.0,175.0,7.24,81.0,South,86.7,R,R
0,OF,74.0,205.0,6.95,82.0,Northeast,91.3,R,L
0,OF,72.0,185.0,6.99,86.0,South,98.0,R,L
0,OF,73.0,155.0,7.226351737976074,,South,83.73269653320312,R,R
0,OF,67.0,160.0,7.075221538543701,,South,93.24560546875,L,L
1,OF,71.0,160.0,7.3126702308654785,,West,92.08094787597656,R,R
1,OF,77.0,175.0,7.21,87.0,West,90.10138702392578,L,L
0,OF,72.0,175.0,6.83,91.0,South,94.8,R,R
0,OF,71.0,165.0,7.0821614265441895,,South,97.47508239746094,L,L
0,OF,70.0,165.0,7.544687271118164,,West,94.8739013671875,R,R
0,OF,73.0,185.0,7.41,82.0,West,93.61980438232422,L,L
0,OF,71.0,180.0,6.75,84.0,South,91.7,R,R
1,OF,75.0,220.0,6.71,80.0,South,101.0,R,R
1,OF,73.0,205.0,7.09,76.0,South,84.1,R,R
0,OF,73.0,178.5,6.84,90.0,South,103.0,R,L
1,OF,69.0,185.0,6.830443382263184,,West,100.03205108642578,L,L
0,OF,74.0,175.0,6.87,90.0,South,86.8,R,R
0,OF,75.0,183.0,6.7,83.0,South,95.8,L,L
1,OF,72.0,205.0,6.72,87.0,South,101.0,R,S
0,OF,73.0,190.0,6.89,91.0,Northeast,103.8,L,L
1,OF,74.0,175.0,7.174790382385254,,Midwest,83.54113006591797,L,L
1,OF,75.0,198.0,7.311197757720947,,West,92.57624816894533,R,R
0,OF,72.0,175.0,6.7,82.0,Northeast,87.0,R,L
0,OF,75.0,200.0,6.74,89.0,Midwest,97.6,L,L
0,OF,76.0,205.0,7.09,79.0,Northeast,91.1,R,R
0,OF,71.0,165.0,7.28,77.0,Northeast,87.5,L,L
0,OF,74.0,185.0,6.85,90.0,Midwest,96.4,R,R
0,OF,72.0,190.0,6.94,89.0,Northeast,92.1,L,L
1,OF,71.0,190.0,6.65,91.0,Northeast,94.7,R,R
0,OF,74.0,184.0,7.13,84.0,Northeast,87.3,R,R
0,OF,71.0,155.0,7.18,85.0,West,90.0,R,R
0,OF,75.0,195.0,6.99,90.0,South,102.4,R,R
0,OF,73.0,225.0,7.342545986175537,,South,87.72271728515625,R,R
1,OF,74.0,214.0,6.69,88.0,Midwest,98.6,R,R
0,OF,72.0,185.0,6.892784595489502,,South,88.33747100830078,L,L
0,OF,72.0,200.0,7.280370235443115,,South,88.56935119628906,R,R
0,OF,70.0,185.0,6.58,85.0,Midwest,94.6,L,R
0,OF,72.0,170.0,7.132549285888672,,South,88.19990539550781,R,R
0,OF,69.0,165.0,6.96,79.0,South,88.0,R,S
0,OF,73.0,170.0,6.42,94.0,Midwest,95.3,R,R
1,OF,72.0,185.0,7.13,82.0,West,96.1,R,R
0,OF,73.0,180.0,6.92,89.0,South,98.8,L,L
0,OF,72.0,175.0,7.28,85.0,West,93.9,L,L
1,OF,74.0,216.0,6.4,95.0,West,107.4,R,R
0,OF,74.0,195.0,6.74,86.0,South,98.0,R,R
0,OF,73.0,180.0,6.9,90.0,Northeast,95.0,R,R
1,OF,73.0,180.0,6.9,90.0,Northeast,95.0,R,R
0,OF,73.0,190.0,6.65,81.0,South,95.7,R,R
0,OF,74.0,183.0,7.49,85.0,Midwest,91.9,R,R
0,OF,73.0,190.0,6.8,84.0,South,100.4,R,R
0,OF,72.0,195.0,6.82,84.0,Midwest,96.0,R,L
1,OF,73.0,180.0,6.65,89.0,South,98.3,R,R
0,OF,75.0,207.0,6.77,82.0,South,104.0,R,L
1,OF,77.0,210.0,7.198668956756592,,Midwest,92.8014907836914,R,L
0,OF,72.0,170.0,6.83,87.0,South,93.8,R,R
0,OF,70.0,180.0,7.52545690536499,,South,89.3729248046875,R,R
0,OF,77.0,215.0,7.484371185302734,,South,82.74126434326172,R,R
0,OF,72.0,200.0,7.065420150756836,,South,97.73045349121094,R,R
1,OF,72.0,200.0,7.225614547729492,,West,88.70667266845703,L,L
1,OF,73.0,180.0,7.103885650634766,,South,96.65835571289062,R,R
0,OF,73.0,175.0,6.67,88.0,South,92.7,R,R
0,OF,71.0,185.0,7.01,86.0,South,89.2,R,L
0,OF,75.0,173.0,7.670573711395264,,South,92.64228057861328,R,L
0,OF,74.0,175.0,6.86,86.0,Northeast,89.4,R,R
1,OF,71.0,155.0,7.080799579620361,,West,88.32526397705078,R,L
0,OF,71.0,180.0,6.55,74.0,Northeast,91.0,R,R
0,OF,75.0,177.0,6.959775924682617,,West,91.85892486572266,R,R
1,OF,75.0,185.0,8.32,,West,79.0,L,L
1,OF,72.0,190.0,7.65,87.0,Midwest,103.8,L,L
1,OF,70.0,183.0,6.87,86.0,South,99.8,L,L
0,OF,73.0,180.0,6.73,89.0,South,96.7,R,R
0,OF,70.0,175.0,6.88,83.0,South,87.0,R,R
0,OF,71.0,170.0,6.82,84.0,South,92.9,R,L
1,OF,74.0,185.0,7.115520477294922,88.0,West,91.25577545166016,R,L
0,OF,70.0,173.0,6.56,85.0,South,81.0,R,R
1,OF,78.0,230.0,6.78,89.0,Midwest,99.3,R,R
0,OF,75.0,220.0,6.5,92.0,Midwest,99.9,L,L
0,OF,72.0,175.0,7.2227959632873535,,South,84.20620727539062,L,L
1,OF,74.0,190.0,6.6,86.0,Midwest,100.0,R,L
0,OF,76.0,215.0,7.48,92.0,West,101.3,L,L
0,OF,69.0,165.0,7.467097282409668,,Northeast,95.18568420410156,L,L
1,OF,76.0,200.0,6.97,94.0,South,108.1,R,R
0,OF,71.0,160.0,7.744384765625,,South,89.4693603515625,R,R
1,OF,77.0,210.0,7.049149036407471,,South,86.20626831054688,R,L
0,OF,72.0,185.0,7.27,83.0,South,92.0,L,L
0,OF,73.0,202.0,6.82,82.0,South,93.4,L,R
1,OF,70.0,160.0,7.410107135772705,,Midwest,93.99536895751952,R,R
1,OF,72.0,165.0,7.521251678466797,,South,81.93946838378906,L,R
1,OF,70.0,160.9,6.58,91.0,South,93.8,R,R
0,OF,70.0,185.0,7.368902683258057,,South,91.41881561279295,R,R
0,OF,68.0,150.0,6.51,86.0,South,91.0,R,R
0,OF,76.0,185.0,7.24,90.0,South,91.9,L,L
0,OF,72.0,185.0,6.85,84.0,South,96.1,L,L
0,OF,67.0,155.0,7.035390377044678,75.0,Northeast,89.3,R,L
0,OF,67.0,170.0,6.9,87.0,South,94.3,R,R
1,OF,71.0,163.0,7.270497798919678,,West,90.35529327392578,L,L
0,OF,73.0,190.0,7.167097568511963,,West,87.90647888183594,R,R
0,OF,71.0,190.0,6.83,93.0,Midwest,97.0,R,R
0,OF,71.0,200.0,7.16,80.0,Northeast,92.1,R,L
0,OF,73.0,180.0,6.69,75.0,South,86.6,L,L
0,OF,70.0,185.0,6.9,84.0,South,93.8,R,R
0,OF,71.0,175.0,6.72,77.0,South,91.9,R,R
0,OF,70.0,150.0,7.032807350158691,,West,93.2609405517578,R,R
1,OF,75.0,210.0,6.78,81.0,Midwest,95.1,L,L
0,OF,71.0,170.0,6.63,84.0,Midwest,98.5,L,L
1,OF,69.0,175.0,6.61,90.0,West,99.6,L,L
1,OF,70.0,155.0,7.749320030212402,,Northeast,92.04788970947266,R,R
1,OF,75.0,200.0,7.1063055992126465,,South,88.86470794677734,R,R
0,OF,72.0,180.0,7.1,88.0,Northeast,98.0,R,R
0,OF,72.0,160.0,7.233024597167969,,Northeast,92.38809204101562,R,R
1,OF,75.0,180.0,6.68,59.0,South,90.7,R,R
0,OF,67.0,135.0,7.2331624031066895,,South,89.50933837890625,L,L
0,OF,71.0,175.0,7.27,99.0,South,93.6,R,R
1,OF,78.0,191.0,6.87,88.0,West,104.7,L,L
1,OF,74.0,175.0,7.19,82.0,South,84.84822082519531,L,S
0,OF,70.0,176.0,7.13,89.0,South,94.8,R,L
0,OF,70.0,175.0,7.463776588439941,,South,87.30204772949219,R,L
0,OF,73.0,175.0,7.1,89.0,South,88.4,R,R
0,OF,73.0,190.0,6.7,84.0,Northeast,97.3,R,L
0,OF,70.0,135.0,6.86,73.0,Northeast,85.6,R,R
1,OF,72.0,190.0,7.59,75.0,Northeast,88.0,R,L
0,OF,70.0,203.0,6.86,83.0,Midwest,99.2,L,L
1,OF,73.0,199.7,6.29,93.0,South,101.1,R,R
0,OF,69.0,160.0,6.7,83.0,South,94.7,L,L
0,OF,70.0,187.0,6.91,85.0,Northeast,92.8,R,L
1,OF,70.0,180.0,7.31100606918335,,South,91.45531463623048,R,L
0,OF,70.0,180.0,7.850711345672607,,South,89.84667205810547,R,L
0,OF,68.0,150.0,6.85,86.0,South,90.0,R,R
1,OF,69.0,180.0,7.0728678703308105,99.0,South,100.7,R,R
0,OF,76.0,189.0,6.61,82.0,South,101.7,R,R
0,OF,71.0,165.0,7.13,82.0,South,91.7,R,S
0,OF,69.0,170.0,7.11,90.0,South,95.2,L,L
0,OF,73.0,180.0,6.59,78.0,Midwest,91.3,L,L
1,OF,70.0,188.0,6.41,86.0,Northeast,99.4,R,R
0,OF,75.0,215.0,7.014482021331787,,South,93.60905456542967,R,R
0,OF,72.0,160.0,7.41,79.0,South,83.0,R,R
0,OF,69.0,165.0,6.89,77.0,Northeast,88.8,R,R
0,OF,74.0,192.0,6.990972518920898,91.0,West,93.62006378173828,L,L
0,OF,71.0,175.0,6.75,83.0,Northeast,93.4,R,L
0,OF,72.0,235.2,7.48,89.0,Northeast,101.4,R,S
1,OF,73.0,166.0,6.78,87.0,West,95.6,R,R
1,OF,69.0,175.0,7.158718585968018,,West,86.31548309326172,R,R
1,OF,68.0,165.0,7.25,77.0,Northeast,88.0,R,R
1,OF,74.0,180.0,7.13,91.0,West,96.1,R,L
1,OF,74.0,180.0,6.9,87.0,South,95.8,R,R
0,OF,74.0,210.0,7.22,90.0,South,101.7,R,S
0,OF,73.0,200.0,7.215527057647705,85.0,South,93.7,R,L
1,OF,68.0,177.0,6.5,91.0,South,98.9,L,L
0,OF,72.0,190.0,7.558556079864502,,South,86.93510437011719,R,R
0,OF,69.0,160.0,7.28,,South,97.66309356689452,L,L
0,OF,71.0,168.0,6.61,89.0,Midwest,100.8,R,R
0,OF,73.0,175.0,7.29,85.0,Northeast,87.0,R,L
0,OF,74.0,165.0,6.91,82.0,Northeast,86.4,R,L
0,OF,71.0,165.0,7.15,88.0,Northeast,91.3,R,L
1,OF,73.0,165.0,6.63,85.0,South,121.7,L,L
1,OF,73.0,190.0,6.51,86.0,Midwest,96.2,R,R
0,OF,70.0,163.0,6.88,91.0,South,103.8,R,R
1,OF,76.0,185.0,6.87,86.0,South,94.4,R,R
1,OF,70.0,190.0,6.69,88.0,South,99.3,R,R
0,OF,73.0,185.0,6.52,93.0,South,105.1,L,R
0,OF,72.0,195.0,6.74,91.0,South,98.5,R,R
0,OF,78.0,210.0,6.977422714233398,,West,94.5160140991211,L,L
0,OF,73.0,185.0,6.98,84.0,South,95.2,L,L
0,OF,72.0,180.0,6.62,93.0,Northeast,96.1,R,R
1,OF,72.0,185.0,6.49,,South,95.4,R,L
0,OF,73.0,197.0,6.9304518699646,,Northeast,91.5121612548828,R,R
0,OF,72.0,170.0,6.89,85.0,Midwest,93.1,R,L
0,OF,72.0,190.0,7.6,86.0,South,91.0,L,L
0,OF,71.0,190.0,6.97,82.0,West,97.0,L,L
0,OF,76.0,190.0,7.37,84.0,South,96.5,R,R
0,OF,69.0,189.0,6.29,85.0,Northeast,93.0,R,R
0,OF,74.0,185.0,6.76,82.0,Northeast,93.0,L,L
0,OF,75.0,185.0,7.87,80.0,Northeast,85.0,L,L
1,OF,77.0,200.0,6.950717449188232,,South,92.92963409423828,R,R
0,OF,73.0,175.0,6.59,94.0,Northeast,96.6,L,L
0,OF,78.0,200.0,7.066895961761475,,West,92.83816528320312,R,R
1,OF,71.0,181.0,6.93,88.0,West,96.4,L,L
0,OF,77.0,185.0,6.78,80.0,Midwest,88.6,R,R
0,OF,74.0,170.0,7.018485069274902,,South,95.7,R,R
0,OF,70.0,160.0,7.027968406677246,,Midwest,91.37857818603516,R,R
0,OF,71.0,185.0,6.931817531585693,,South,91.34864807128906,R,R
1,OF,77.0,225.0,7.04,93.0,West,94.6,L,L
0,OF,70.0,170.0,6.77,80.0,South,84.3,R,S
1,OF,72.0,195.0,7.2,89.0,South,94.2,L,L
0,OF,70.0,175.0,6.84,,Northeast,91.0,R,R
0,OF,74.0,215.0,7.232858657836914,,South,93.53620147705078,R,L
1,OF,75.0,195.0,7.09635066986084,,South,94.46363067626952,R,R
0,OF,68.0,170.0,7.315532207489014,,South,96.6,L,L
0,OF,67.0,130.0,8.044032096862793,,South,77.53902435302734,L,R
0,OF,72.0,180.0,7.15,79.0,South,87.9,R,R
0,OF,74.0,185.0,6.64,95.0,Midwest,101.2,L,L
0,OF,72.0,190.0,6.52,95.0,South,97.7,R,R
0,OF,73.0,195.0,6.64,83.0,Northeast,94.7,R,R
0,OF,71.0,175.0,6.46,85.0,Northeast,96.8,R,R
0,OF,73.0,150.0,6.948871612548828,,West,98.84654235839844,L,L
0,OF,70.0,170.0,7.392282485961914,,West,92.8539810180664,R,R
0,OF,71.0,205.0,7.3883771896362305,,Midwest,81.98287963867188,L,L
0,OF,73.0,185.0,6.73,88.0,West,96.9,L,L
1,OF,72.0,195.0,7.18,88.0,West,99.6,L,L
0,OF,73.0,185.0,6.95,87.0,West,90.7,L,L
0,OF,72.0,175.0,6.96,81.0,Midwest,95.0,R,L
0,OF,69.0,190.0,7.13543701171875,,South,96.48728942871094,R,L
1,OF,73.0,160.0,7.501729965209961,,South,89.33740997314453,R,R
0,OF,70.0,160.0,6.69,79.0,Northeast,85.7,R,R
1,OF,73.0,190.0,6.78,93.0,,100.2,R,R
0,OF,71.0,192.0,6.5,86.0,Northeast,96.7,R,L
0,OF,75.0,190.0,6.78,85.0,West,105.2,L,L
0,OF,73.0,195.0,7.205954074859619,,South,97.9653549194336,R,R
0,OF,75.0,160.0,6.62,82.0,South,91.4,R,L
1,OF,75.0,222.0,7.18,82.0,South,93.5,R,L
1,OF,69.0,180.0,7.1,78.0,South,91.6,R,R
0,OF,74.0,185.0,6.31,93.0,Northeast,97.0,R,R
1,OF,73.0,195.0,7.51,79.0,West,84.0,R,L
0,OF,75.0,170.0,6.95,91.0,Midwest,94.0,R,L
0,OF,73.0,185.0,6.9,80.0,West,108.1,R,R
1,OF,74.0,202.0,6.75,92.0,South,102.8,R,R
0,OF,75.0,210.0,7.1,,South,99.0,R,S
0,OF,75.0,190.0,6.72,91.0,South,98.4,R,R
0,OF,70.0,160.0,6.84,81.0,South,88.1,R,R
0,OF,72.0,190.0,6.76,87.0,Northeast,99.0,R,R
1,OF,71.0,180.0,6.68,98.0,Midwest,100.8,R,R
0,OF,77.0,185.0,7.165389060974121,,South,96.7177734375,R,L
0,OF,70.0,170.0,6.45,82.0,Midwest,97.0,R,L
1,OF,75.0,190.0,6.87,93.0,Midwest,99.5,R,L
0,OF,72.0,190.0,6.63,80.0,Northeast,92.2,R,R
0,OF,72.0,164.9,7.33,82.0,Northeast,90.9,R,R
0,OF,71.0,175.0,7.17,82.0,South,94.6,R,L
0,OF,73.0,160.0,7.000072002410889,,West,95.81880950927734,R,R
1,OF,71.0,176.0,6.49,93.0,South,98.0,R,R
0,OF,73.0,175.0,6.83,86.0,West,99.8,L,L
0,OF,75.0,215.0,6.86,88.0,Midwest,98.6,R,R
0,OF,70.0,175.0,7.16,79.0,Northeast,88.5,R,R
0,OF,72.0,170.0,6.83,,West,92.7,R,R
1,OF,74.0,180.0,7.19,87.0,South,90.7,R,R
1,OF,74.0,205.0,6.78,85.0,West,95.8,R,R
1,OF,72.0,180.0,7.54010534286499,,South,96.7315902709961,R,L
1,OF,73.0,198.0,6.47,92.0,Midwest,102.6,L,L
0,OF,72.0,185.0,7.29,84.0,West,86.4,R,R
0,OF,75.0,220.0,7.14,84.0,South,103.4,R,R
0,OF,73.0,175.0,6.9,83.0,Midwest,94.4,R,R
0,OF,70.0,160.0,6.53,85.0,South,90.5,R,R
0,OF,73.0,193.0,7.18281364440918,,South,89.61846160888672,R,R
0,OF,73.0,195.0,7.112586498260498,,South,91.41448211669922,R,L
0,OF,74.0,200.0,6.81,,South,94.2,R,R
1,OF,74.0,215.2,6.5,89.0,South,102.7,L,R
0,OF,71.0,145.0,7.24,81.0,South,87.6,R,R
0,OF,71.0,166.0,7.207054615020752,,South,92.57489013671876,R,R
0,OF,72.0,150.0,7.001948356628418,,South,91.1287841796875,R,L
1,OF,77.0,215.0,6.75,92.0,South,101.4,R,L
1,OF,75.0,215.0,6.76,87.0,South,90.36070251464844,L,L
0,OF,70.0,185.0,6.56,84.0,South,88.5,R,L
0,OF,69.0,160.0,7.41,77.0,West,87.4,R,L
0,OF,75.0,200.0,7.12,84.0,Midwest,100.2,R,R
1,OF,72.0,170.0,6.46,85.0,South,96.9,R,R
0,OF,72.0,190.0,7.02,88.0,West,103.3,L,L
0,OF,71.0,175.0,7.028373718261719,,South,93.79642486572266,R,L
0,OF,70.0,160.0,6.972780227661133,,West,93.58441162109376,L,S
0,OF,69.0,165.0,6.55,87.0,South,88.4,R,L
1,OF,73.0,185.0,7.0,87.0,Northeast,90.0,L,L
0,OF,73.0,190.0,6.99,86.0,South,86.0,R,R
0,OF,72.0,155.0,6.79,78.0,South,91.6,R,L
0,OF,70.0,175.0,6.54,89.0,South,91.9,R,L
1,OF,72.0,194.4,6.91,85.0,South,98.1,R,R
0,OF,74.0,170.0,7.316005706787109,,South,90.1,R,L
0,OF,77.0,215.0,6.94,92.0,South,102.9,R,R
1,OF,71.0,167.8,6.85,88.0,West,94.6,R,R
0,OF,71.0,185.0,6.59,85.0,Midwest,98.7,R,L
1,OF,70.0,165.0,6.99,85.0,South,91.0,R,L
