iter	Logloss
0	0.6789722513
1	0.6660345208
2	0.6458790902
3	0.6350817439
4	0.6240099906
5	0.6119606256
6	0.6012064864
7	0.5955089503
8	0.5855825259
9	0.5741850075
10	0.5654293076
11	0.553101622
12	0.5473543105
13	0.5413353247
14	0.5319800305
15	0.525446895
16	0.5210622263
17	0.5126800035
18	0.5062094216
19	0.4923609676
20	0.4833947928
21	0.4764120826
22	0.4662571485
23	0.4605306033
24	0.4540295523
25	0.4503228572
26	0.4446636151
27	0.4369251128
28	0.426429265
29	0.4182028761
30	0.4137255413
31	0.408169854
32	0.4016003324
33	0.3980399794
34	0.3943490878
35	0.3853053384
36	0.3809003582
37	0.3757374797
38	0.3725929208
39	0.368812533
40	0.3636688447
41	0.358481599
42	0.3555957701
43	0.3520621665
44	0.3448737801
45	0.3405772917
46	0.3381189266
47	0.3336581518
48	0.3303912482
49	0.3275643932
50	0.3233624638
51	0.3209568626
52	0.317521702
53	0.3142645157
54	0.3118420435
55	0.3070010435
56	0.3048450625
57	0.300771732
58	0.2970464574
59	0.2911921416
60	0.2888235212
61	0.2857455638
62	0.2824211838
63	0.2767948821
64	0.2763559262
65	0.2706174162
66	0.2661157987
67	0.2622650001
68	0.2592505431
69	0.2553768942
70	0.2519803746
71	0.2502460646
72	0.2468461038
73	0.2450858162
74	0.2429075221
75	0.2401320156
76	0.238011146
77	0.2349335742
78	0.2313670442
79	0.2263974435
80	0.2230645866
81	0.2200416043
82	0.2162689882
83	0.2131522581
84	0.211756221
85	0.2096846165
86	0.2093401578
87	0.2059139143
88	0.2033004087
89	0.2014419943
90	0.198911823
91	0.1966394264
92	0.1941413062
93	0.1913562436
94	0.1903006988
95	0.1884649329
96	0.18723178
97	0.1846162913
98	0.1820704572
99	0.1794528428
100	0.1759331057
101	0.1741090813
102	0.1725371554
103	0.1708923941
104	0.1706864842
105	0.1665832235
106	0.1635939757
107	0.16153729
108	0.1580743691
109	0.1549747831
110	0.1528846217
111	0.1502799867
112	0.1478905151
113	0.1458920162
114	0.1444192047
115	0.143007661
116	0.1408747993
117	0.1379697401
118	0.137336842
119	0.1346386325
120	0.1328573299
121	0.1314837774
122	0.1309194076
123	0.1284015571
124	0.127480732
125	0.1254697483
126	0.1240685275
127	0.1221351113
128	0.1201830172
129	0.1199572309
130	0.1188729668
131	0.1175913064
132	0.1166826096
133	0.1155656455
134	0.1136605273
135	0.1129220741
136	0.1117516008
137	0.1099644344
138	0.1095074868
139	0.1094074398
140	0.1070788397
141	0.1057272475
142	0.1044028837
143	0.1030561985
144	0.101626415
145	0.09999201801
146	0.09900442703
147	0.09721098416
148	0.0958877996
149	0.09424048552
150	0.09275805293
151	0.09255699286
152	0.09159516346
153	0.0900904847
154	0.08852644635
155	0.08825889108
156	0.08733502164
157	0.08598328735
158	0.0848231074
159	0.0833098766
160	0.08324398495
161	0.08177762193
162	0.08057293871
163	0.07992618385
164	0.07888930673
165	0.07823185711
166	0.0779636362
167	0.07692116092
168	0.07581003804
169	0.07515191882
170	0.0741135821
171	0.07403893659
172	0.07320903787
173	0.07250581865
174	0.07204499048
175	0.07100944831
176	0.06987025025
177	0.06915281112
178	0.06847386975
179	0.06735252665
180	0.06626964633
181	0.065345491
182	0.06514196922
183	0.06410523569
184	0.06316801563
185	0.06199584345
186	0.06143706264
187	0.06098128316
188	0.0609373376
189	0.06075749832
190	0.06016412457
191	0.05954749085
192	0.05944520427
193	0.05877405506
194	0.05873129445
195	0.0580302425
196	0.05755811716
197	0.0567920757
198	0.05613875958
199	0.05539425933
